Week;Nehodovost;AE
1.tyzden.2014;148;179.450000
2.tyzden.2014;195;103.726191
3.tyzden.2014;216;56.583333
4.tyzden.2014;241;102.160714
5.tyzden.2014;249;66.220238
6.tyzden.2014;200;147.345238
7.tyzden.2014;228;101.255952
8.tyzden.2014;222;298.035714
9.tyzden.2014;196;120.726191
10.tyzden.2014;228;77.339286
11.tyzden.2014;234;92.184524
12.tyzden.2014;253;88.672619
13.tyzden.2014;211;102.750000
14.tyzden.2014;219;100.553572
15.tyzden.2014;250;209.636905
16.tyzden.2014;245;150.154762
17.tyzden.2014;224;172.750000
18.tyzden.2014;256;194.440476
19.tyzden.2014;256;204.416667
20.tyzden.2014;260;96.613095
21.tyzden.2014;310;143.815476
22.tyzden.2014;247;107.595238
23.tyzden.2014;276;168.107143
24.tyzden.2014;268;118.654762
25.tyzden.2014;245;189.089286
26.tyzden.2014;281;108.815476
27.tyzden.2014;248;103.255952
28.tyzden.2014;260;174.511905
29.tyzden.2014;281;76.184524
30.tyzden.2014;263;107.863095
31.tyzden.2014;238;139.226190
32.tyzden.2014;250;186.113095
33.tyzden.2014;246;110.250000
34.tyzden.2014;248;139.916667
35.tyzden.2014;255;281.285714
36.tyzden.2014;220;197.988095
37.tyzden.2014;250;145.791667
38.tyzden.2014;236;98.011905
39.tyzden.2014;247;278.827381
40.tyzden.2014;303;164.666667
41.tyzden.2014;279;157.148809
42.tyzden.2014;304;180.035714
43.tyzden.2014;298;276.672619
44.tyzden.2014;259;149.369048
45.tyzden.2014;253;143.297619
46.tyzden.2014;260;182.392857
47.tyzden.2014;253;198.738095
48.tyzden.2014;234;97.642857
49.tyzden.2014;276;199.202381
50.tyzden.2014;273;211.172619
51.tyzden.2014;323;179.107143
52.tyzden.2014;305;201.404167
