Week;Nehodovost;AL
1.tyzden.2011;352;-64.296296
2.tyzden.2011;343;-68.815476
3.tyzden.2011;369;-52.511905
4.tyzden.2011;367;-43.000000
5.tyzden.2011;241;-106.827381
6.tyzden.2011;291;-43.386905
7.tyzden.2011;200;-85.357143
8.tyzden.2011;189;-47.107143
9.tyzden.2011;253;-153.821429
10.tyzden.2011;219;-178.797619
11.tyzden.2011;272;-33.958333
12.tyzden.2011;249;-47.625000
13.tyzden.2011;274;-102.142857
14.tyzden.2011;232;-118.261905
15.tyzden.2011;249;-85.095238
16.tyzden.2011;298;-59.970238
17.tyzden.2011;238;-113.089286
18.tyzden.2011;267;-123.642857
19.tyzden.2011;317;-57.363095
20.tyzden.2011;300;-68.041667
21.tyzden.2011;307;-159.708333
22.tyzden.2011;291;-132.845238
23.tyzden.2011;311;-138.273810
24.tyzden.2011;289;-69.053572
25.tyzden.2011;316;-155.011905
26.tyzden.2011;311;-77.214286
27.tyzden.2011;260;-142.785714
28.tyzden.2011;292;-89.821429
29.tyzden.2011;300;-131.505952
30.tyzden.2011;262;-76.726190
31.tyzden.2011;237;-102.869048
32.tyzden.2011;283;-90.315476
33.tyzden.2011;322;-63.458333
34.tyzden.2011;305;-69.886905
35.tyzden.2011;243;-70.791667
36.tyzden.2011;289;-129.053571
37.tyzden.2011;322;-136.666667
38.tyzden.2011;255;-41.410714
39.tyzden.2011;333;-183.773809
40.tyzden.2011;333;-109.178572
41.tyzden.2011;303;-38.303571
42.tyzden.2011;330;-33.214286
43.tyzden.2011;299;-80.000000
44.tyzden.2011;251;-116.476190
45.tyzden.2011;239;-31.750000
46.tyzden.2011;276;-25.327381
47.tyzden.2011;225;-59.053572
48.tyzden.2011;296;-89.851190
49.tyzden.2011;307;-35.898809
50.tyzden.2011;340;-24.375000
51.tyzden.2011;347;-42.035714
52.tyzden.2011;194;-37.020833
