Week;Nehodovost;AU
1.tyzden.2012;233;37.218750
2.tyzden.2012;256;34.053571
3.tyzden.2012;292;52.488095
4.tyzden.2012;250;79.125000
5.tyzden.2012;199;52.517857
6.tyzden.2012;208;53.732143
7.tyzden.2012;309;78.666667
8.tyzden.2012;225;51.744047
9.tyzden.2012;207;95.720238
10.tyzden.2012;201;137.559524
11.tyzden.2012;209;121.065476
12.tyzden.2012;235;52.946429
13.tyzden.2012;198;72.946428
14.tyzden.2012;215;79.785714
15.tyzden.2012;201;65.250000
16.tyzden.2012;225;80.934524
17.tyzden.2012;294;113.053571
18.tyzden.2012;269;49.011905
19.tyzden.2012;257;107.386905
20.tyzden.2012;248;73.505952
21.tyzden.2012;258;86.815476
22.tyzden.2012;250;79.880952
23.tyzden.2012;292;106.339286
24.tyzden.2012;280;120.851191
25.tyzden.2012;301;59.416667
26.tyzden.2012;279;111.333333
27.tyzden.2012;275;102.178572
28.tyzden.2012;303;182.505952
29.tyzden.2012;249;114.601190
30.tyzden.2012;253;75.839286
31.tyzden.2012;258;84.047619
32.tyzden.2012;258;81.125000
33.tyzden.2012;274;82.970238
34.tyzden.2012;277;78.982143
35.tyzden.2012;265;64.202381
36.tyzden.2012;294;131.821429
37.tyzden.2012;297;36.041667
38.tyzden.2012;270;53.767857
39.tyzden.2012;270;32.452381
40.tyzden.2012;287;44.761905
41.tyzden.2012;273;103.422619
42.tyzden.2012;337;31.148810
43.tyzden.2012;289;23.809524
44.tyzden.2012;268;38.636905
45.tyzden.2012;290;24.744048
46.tyzden.2012;263;34.839286
47.tyzden.2012;299;46.750000
48.tyzden.2012;251;20.369048
49.tyzden.2012;344;17.166666
50.tyzden.2012;344;26.261905
51.tyzden.2012;342;23.761905
52.tyzden.2012;208;16.026042
