Week;Usmrteni;Ap
1.tyzden.2011;11;6.513889
2.tyzden.2011;6;6.821429
3.tyzden.2011;9;4.696429
4.tyzden.2011;6;3.857143
5.tyzden.2011;1;10.535714
6.tyzden.2011;12;3.660714
7.tyzden.2011;6;8.857143
8.tyzden.2011;2;3.017857
9.tyzden.2011;11;12.660714
10.tyzden.2011;9;14.000000
11.tyzden.2011;8;3.214286
12.tyzden.2011;6;4.910714
13.tyzden.2011;10;8.642857
14.tyzden.2011;7;8.964286
15.tyzden.2011;6;8.232143
16.tyzden.2011;10;6.875000
17.tyzden.2011;10;9.303571
18.tyzden.2011;6;7.767857
19.tyzden.2011;2;5.267857
20.tyzden.2011;14;5.750000
21.tyzden.2011;10;15.375000
22.tyzden.2011;11;11.392857
23.tyzden.2011;9;8.375000
24.tyzden.2011;6;6.035714
25.tyzden.2011;9;9.910714
26.tyzden.2011;7;5.339286
27.tyzden.2011;10;8.875000
28.tyzden.2011;17;6.428571
29.tyzden.2011;10;10.142857
30.tyzden.2011;6;7.196429
31.tyzden.2011;5;13.696429
32.tyzden.2011;6;5.767857
33.tyzden.2011;10;5.232143
34.tyzden.2011;11;5.625000
35.tyzden.2011;4;5.482143
36.tyzden.2011;6;14.571429
37.tyzden.2011;10;13.696429
38.tyzden.2011;16;3.732143
39.tyzden.2011;6;21.035714
40.tyzden.2011;12;7.821429
41.tyzden.2011;11;4.339286
42.tyzden.2011;15;3.642857
43.tyzden.2011;16;11.285714
44.tyzden.2011;6;7.160714
45.tyzden.2011;5;3.250000
46.tyzden.2011;12;2.500000
47.tyzden.2011;4;5.589286
48.tyzden.2011;11;7.750000
49.tyzden.2011;8;3.589286
50.tyzden.2011;10;2.375000
51.tyzden.2011;14;4.000000
52.tyzden.2011;9;4.333333
