Week;Usmrteni;Dst
1.tyzden.2012;11;-4.078125
2.tyzden.2012;5;3.452381
3.tyzden.2012;8;-2.255952
4.tyzden.2012;6;-28.315476
5.tyzden.2012;3;-7.547619
6.tyzden.2012;0;-9.101190
7.tyzden.2012;3;-22.297619
8.tyzden.2012;16;-11.607143
9.tyzden.2012;2;-23.773809
10.tyzden.2012;3;-50.000000
11.tyzden.2012;9;-42.154762
12.tyzden.2012;9;-17.583333
13.tyzden.2012;3;-14.601190
14.tyzden.2012;1;-20.464286
15.tyzden.2012;4;-12.869048
16.tyzden.2012;10;-13.404762
17.tyzden.2012;8;-32.172619
18.tyzden.2012;7;-6.494048
19.tyzden.2012;9;-11.261905
20.tyzden.2012;2;-7.440476
21.tyzden.2012;14;-10.625000
22.tyzden.2012;17;3.065476
23.tyzden.2012;5;-11.136905
24.tyzden.2012;9;-13.845238
25.tyzden.2012;11;-20.220238
26.tyzden.2012;13;-5.357143
27.tyzden.2012;11;-7.708333
28.tyzden.2012;9;-34.589286
29.tyzden.2012;6;-33.005953
30.tyzden.2012;13;-3.434524
31.tyzden.2012;1;-9.130952
32.tyzden.2012;2;-5.940476
33.tyzden.2012;13;-4.476191
34.tyzden.2012;12;-5.577381
35.tyzden.2012;4;-3.119048
36.tyzden.2012;11;-29.970238
37.tyzden.2012;7;0.803571
38.tyzden.2012;13;-3.511905
39.tyzden.2012;12;4.767857
40.tyzden.2012;14;-24.773809
41.tyzden.2012;6;-46.005952
42.tyzden.2012;11;-11.910714
43.tyzden.2012;7;-4.089286
44.tyzden.2012;6;-8.803571
45.tyzden.2012;3;0.767857
46.tyzden.2012;9;-19.660714
47.tyzden.2012;8;-12.857143
48.tyzden.2012;8;2.815476
49.tyzden.2012;6;10.029762
50.tyzden.2012;7;7.238095
51.tyzden.2012;16;2.857143
52.tyzden.2012;8;11.171875
