Week;Nehodovost;Proton30
1.tyzden.2011;352;0.101019
2.tyzden.2011;343;0.100298
3.tyzden.2011;369;0.102738
4.tyzden.2011;367;0.128452
5.tyzden.2011;241;0.101131
6.tyzden.2011;291;0.103691
7.tyzden.2011;200;0.111191
8.tyzden.2011;189;0.094881
9.tyzden.2011;253;0.088512
10.tyzden.2011;219;0.477679
11.tyzden.2011;272;0.090655
12.tyzden.2011;249;0.303929
13.tyzden.2011;274;0.085060
14.tyzden.2011;232;0.085238
15.tyzden.2011;249;0.085417
16.tyzden.2011;298;0.085417
17.tyzden.2011;238;0.084286
18.tyzden.2011;267;0.084940
19.tyzden.2011;317;0.087738
20.tyzden.2011;300;0.086369
21.tyzden.2011;307;0.085417
22.tyzden.2011;291;0.104107
23.tyzden.2011;311;2.418512
24.tyzden.2011;289;0.121488
25.tyzden.2011;316;0.079405
26.tyzden.2011;311;0.083036
27.tyzden.2011;260;0.082857
28.tyzden.2011;292;0.082024
29.tyzden.2011;300;0.082560
30.tyzden.2011;262;0.083452
31.tyzden.2011;237;1.423155
32.tyzden.2011;283;0.466845
33.tyzden.2011;322;0.083512
34.tyzden.2011;305;0.082381
35.tyzden.2011;243;0.085417
36.tyzden.2011;289;0.295119
37.tyzden.2011;322;0.079941
38.tyzden.2011;255;0.350893
39.tyzden.2011;333;0.163274
40.tyzden.2011;333;0.082738
41.tyzden.2011;303;0.080595
42.tyzden.2011;330;0.096310
43.tyzden.2011;299;0.089822
44.tyzden.2011;251;0.170357
45.tyzden.2011;239;0.085714
46.tyzden.2011;276;0.083036
47.tyzden.2011;225;0.268512
48.tyzden.2011;296;0.097083
49.tyzden.2011;307;0.085774
50.tyzden.2011;340;0.086548
51.tyzden.2011;347;0.087440
52.tyzden.2011;194;0.094861
