Week;Zraneni;Sunspot
1.tyzden.2014;15;136.000000
2.tyzden.2014;15;135.142857
3.tyzden.2014;11;98.000000
4.tyzden.2014;8;125.000000
5.tyzden.2014;15;93.000000
6.tyzden.2014;21;150.000000
7.tyzden.2014;19;135.571429
8.tyzden.2014;24;133.142857
9.tyzden.2014;11;180.000000
10.tyzden.2014;20;134.857143
11.tyzden.2014;11;115.714286
12.tyzden.2014;13;137.857143
13.tyzden.2014;12;120.142857
14.tyzden.2014;15;125.000000
15.tyzden.2014;23;86.285714
16.tyzden.2014;11;166.428571
17.tyzden.2014;10;87.000000
18.tyzden.2014;14;98.857143
19.tyzden.2014;11;136.285714
20.tyzden.2014;17;147.285714
21.tyzden.2014;19;92.714286
22.tyzden.2014;13;66.142857
23.tyzden.2014;20;97.285714
24.tyzden.2014;16;154.571429
25.tyzden.2014;13;93.857143
26.tyzden.2014;11;67.142857
27.tyzden.2014;16;161.285714
28.tyzden.2014;25;150.285714
29.tyzden.2014;22;25.000000
30.tyzden.2014;17;54.714286
31.tyzden.2014;12;140.285714
32.tyzden.2014;9;106.285714
33.tyzden.2014;16;91.571429
34.tyzden.2014;24;120.571429
35.tyzden.2014;11;86.142857
36.tyzden.2014;17;121.571429
37.tyzden.2014;11;144.714286
38.tyzden.2014;17;95.285714
39.tyzden.2014;17;144.428571
40.tyzden.2014;17;132.857143
41.tyzden.2014;19;52.142857
42.tyzden.2014;16;70.285714
43.tyzden.2014;25;125.428571
44.tyzden.2014;13;95.714286
45.tyzden.2014;19;103.714286
46.tyzden.2014;11;96.857143
47.tyzden.2014;14;78.857143
48.tyzden.2014;21;137.857143
49.tyzden.2014;18;93.285714
50.tyzden.2014;20;107.285714
51.tyzden.2014;18;160.428571
52.tyzden.2014;18;97.200000
