Week;Nehodovost;Solar
1.tyzden.2016;241;98.510000
2.tyzden.2016;251;100.185714
3.tyzden.2016;235;97.528571
4.tyzden.2016;228;105.071429
5.tyzden.2016;219;109.885714
6.tyzden.2016;241;109.628571
7.tyzden.2016;239;97.085714
8.tyzden.2016;191;89.157143
9.tyzden.2016;208;95.100000
10.tyzden.2016;210;93.585714
11.tyzden.2016;235;90.185714
12.tyzden.2016;207;86.457143
13.tyzden.2016;175;83.700000
14.tyzden.2016;239;94.614286
15.tyzden.2016;257;111.400000
16.tyzden.2016;246;83.814286
17.tyzden.2016;236;91.728571
18.tyzden.2016;245;89.942857
19.tyzden.2016;269;97.142857
20.tyzden.2016;218;102.542857
21.tyzden.2016;277;93.571429
22.tyzden.2016;260;86.200000
23.tyzden.2016;289;86.785714
24.tyzden.2016;294;89.857143
25.tyzden.2016;302;81.128571
26.tyzden.2016;293;75.342857
27.tyzden.2016;256;85.700000
28.tyzden.2016;277;102.228571
29.tyzden.2016;236;99.500000
30.tyzden.2016;255;73.928571
31.tyzden.2016;251;81.371429
32.tyzden.2016;277;95.471429
33.tyzden.2016;274;84.128571
34.tyzden.2016;281;83.028571
35.tyzden.2016;231;97.714286
36.tyzden.2016;318;93.371429
37.tyzden.2016;299;85.042857
38.tyzden.2016;277;85.271429
39.tyzden.2016;246;83.614286
40.tyzden.2016;253;99.142857
41.tyzden.2016;252;92.785714
42.tyzden.2016;293;76.000000
43.tyzden.2016;260;76.800000
44.tyzden.2016;233;75.100000
45.tyzden.2016;275;76.742857
46.tyzden.2016;281;75.957143
47.tyzden.2016;280;77.071429
48.tyzden.2016;279;81.942857
49.tyzden.2016;300;73.585714
50.tyzden.2016;284;69.714286
51.tyzden.2016;275;71.442857
52.tyzden.2016;194;71.133333
