Week;Usmrteni;Temperature
1.tyzden.2013;5;34094.527778
2.tyzden.2013;3;61105.446428
3.tyzden.2013;2;77879.565476
4.tyzden.2013;6;67729.696429
5.tyzden.2013;4;69885.000000
6.tyzden.2013;4;56372.755952
7.tyzden.2013;3;39739.470238
8.tyzden.2013;1;62192.952381
9.tyzden.2013;10;94041.702381
10.tyzden.2013;6;37259.375000
11.tyzden.2013;3;79724.160714
12.tyzden.2013;8;62798.607143
13.tyzden.2013;6;117779.797619
14.tyzden.2013;1;33664.369048
15.tyzden.2013;5;68725.089286
16.tyzden.2013;4;26985.785714
17.tyzden.2013;2;95949.809524
18.tyzden.2013;6;68184.226191
19.tyzden.2013;2;90774.059524
20.tyzden.2013;3;57628.303572
21.tyzden.2013;3;126406.113095
22.tyzden.2013;1;192562.886905
23.tyzden.2013;1;77088.892857
24.tyzden.2013;7;47926.255952
25.tyzden.2013;5;131932.553571
26.tyzden.2013;7;89253.422619
27.tyzden.2013;7;44099.029762
28.tyzden.2013;9;55405.755952
29.tyzden.2013;12;85794.005952
30.tyzden.2013;4;90333.755953
31.tyzden.2013;16;59572.166666
32.tyzden.2013;10;97341.916667
33.tyzden.2013;10;144892.190476
34.tyzden.2013;5;76607.160714
35.tyzden.2013;3;81609.303572
36.tyzden.2013;7;73921.398810
37.tyzden.2013;8;88334.517857
38.tyzden.2013;12;85524.321429
39.tyzden.2013;5;42650.041666
40.tyzden.2013;6;59773.047619
41.tyzden.2013;10;45512.797619
42.tyzden.2013;6;75322.000000
43.tyzden.2013;14;36664.976190
44.tyzden.2013;3;62668.279762
45.tyzden.2013;6;87518.994048
46.tyzden.2013;9;83860.244047
47.tyzden.2013;4;58308.994048
48.tyzden.2013;10;56808.357143
49.tyzden.2013;12;90249.851190
50.tyzden.2013;9;74590.928571
51.tyzden.2013;11;42248.196428
52.tyzden.2013;8;44976.250000
