Week;Usmrteni;AE
1.tyzden.2010;9;29.217593
2.tyzden.2010;6;55.755953
3.tyzden.2010;8;65.005953
4.tyzden.2010;5;55.089286
5.tyzden.2010;6;96.375000
6.tyzden.2010;4;65.714286
7.tyzden.2010;9;126.053572
8.tyzden.2010;6;56.946429
9.tyzden.2010;0;87.428572
10.tyzden.2010;2;110.630952
11.tyzden.2010;7;88.595238
12.tyzden.2010;9;53.761905
13.tyzden.2010;5;168.482143
14.tyzden.2010;3;376.357143
15.tyzden.2010;4;126.791667
16.tyzden.2010;4;121.279762
17.tyzden.2010;10;75.315476
18.tyzden.2010;4;273.178572
19.tyzden.2010;5;66.589286
20.tyzden.2010;3;121.500000
21.tyzden.2010;3;179.476191
22.tyzden.2010;5;278.089286
23.tyzden.2010;6;95.154762
24.tyzden.2010;9;152.672619
25.tyzden.2010;3;105.630952
26.tyzden.2010;9;204.785714
27.tyzden.2010;10;80.119048
28.tyzden.2010;10;96.119048
29.tyzden.2010;8;74.202381
30.tyzden.2010;4;187.535714
31.tyzden.2010;3;197.809524
32.tyzden.2010;6;122.142857
33.tyzden.2010;5;85.005952
34.tyzden.2010;19;179.773810
35.tyzden.2010;6;55.928572
36.tyzden.2010;9;117.404762
37.tyzden.2010;5;101.321429
38.tyzden.2010;10;94.428571
39.tyzden.2010;7;66.529762
40.tyzden.2010;5;86.720238
41.tyzden.2010;10;150.666667
42.tyzden.2010;7;140.232143
43.tyzden.2010;12;98.898810
44.tyzden.2010;5;60.880952
45.tyzden.2010;9;134.982143
46.tyzden.2010;11;73.755952
47.tyzden.2010;16;87.613095
48.tyzden.2010;5;56.220238
49.tyzden.2010;8;52.964286
50.tyzden.2010;2;116.642857
51.tyzden.2010;8;80.744048
52.tyzden.2010;1;103.152778
1.tyzden.2011;11;104.574074
2.tyzden.2011;6;116.708333
3.tyzden.2011;9;86.434524
4.tyzden.2011;6;74.952381
5.tyzden.2011;1;165.547619
6.tyzden.2011;12;72.535714
7.tyzden.2011;6;130.755952
8.tyzden.2011;2;71.833333
9.tyzden.2011;11;224.517857
10.tyzden.2011;9;280.500000
11.tyzden.2011;8;54.880952
12.tyzden.2011;6;77.666667
13.tyzden.2011;10;160.630953
14.tyzden.2011;7;200.255952
15.tyzden.2011;6;139.244048
16.tyzden.2011;10;110.392857
17.tyzden.2011;10;185.797619
18.tyzden.2011;6;189.178571
19.tyzden.2011;2;106.375000
20.tyzden.2011;14;117.363095
21.tyzden.2011;10;259.500000
22.tyzden.2011;11;229.815476
23.tyzden.2011;9;232.886905
24.tyzden.2011;6;131.178571
25.tyzden.2011;9;261.071429
26.tyzden.2011;7;142.464286
27.tyzden.2011;10;245.648809
28.tyzden.2011;17;162.601190
29.tyzden.2011;10;223.851190
30.tyzden.2011;6;136.875000
31.tyzden.2011;5;173.482143
32.tyzden.2011;6;145.559524
