Week;Zraneni;AE
1.tyzden.2010;24;29.217593
2.tyzden.2010;19;55.755953
3.tyzden.2010;26;65.005953
4.tyzden.2010;20;55.089286
5.tyzden.2010;21;96.375000
6.tyzden.2010;23;65.714286
7.tyzden.2010;21;126.053572
8.tyzden.2010;27;56.946429
9.tyzden.2010;22;87.428572
10.tyzden.2010;21;110.630952
11.tyzden.2010;24;88.595238
12.tyzden.2010;20;53.761905
13.tyzden.2010;13;168.482143
14.tyzden.2010;25;376.357143
15.tyzden.2010;18;126.791667
16.tyzden.2010;18;121.279762
17.tyzden.2010;30;75.315476
18.tyzden.2010;19;273.178572
19.tyzden.2010;27;66.589286
20.tyzden.2010;20;121.500000
21.tyzden.2010;25;179.476191
22.tyzden.2010;34;278.089286
23.tyzden.2010;36;95.154762
24.tyzden.2010;23;152.672619
25.tyzden.2010;18;105.630952
26.tyzden.2010;32;204.785714
27.tyzden.2010;23;80.119048
28.tyzden.2010;32;96.119048
29.tyzden.2010;23;74.202381
30.tyzden.2010;23;187.535714
31.tyzden.2010;26;197.809524
32.tyzden.2010;32;122.142857
33.tyzden.2010;15;85.005952
34.tyzden.2010;30;179.773810
35.tyzden.2010;27;55.928572
36.tyzden.2010;25;117.404762
37.tyzden.2010;31;101.321429
38.tyzden.2010;27;94.428571
39.tyzden.2010;17;66.529762
40.tyzden.2010;24;86.720238
41.tyzden.2010;22;150.666667
42.tyzden.2010;20;140.232143
43.tyzden.2010;31;98.898810
44.tyzden.2010;28;60.880952
45.tyzden.2010;29;134.982143
46.tyzden.2010;23;73.755952
47.tyzden.2010;19;87.613095
48.tyzden.2010;14;56.220238
49.tyzden.2010;28;52.964286
50.tyzden.2010;22;116.642857
51.tyzden.2010;23;80.744048
52.tyzden.2010;21;103.152778
1.tyzden.2011;11;104.574074
2.tyzden.2011;12;116.708333
3.tyzden.2011;13;86.434524
4.tyzden.2011;19;74.952381
5.tyzden.2011;10;165.547619
6.tyzden.2011;11;72.535714
7.tyzden.2011;9;130.755952
8.tyzden.2011;11;71.833333
9.tyzden.2011;18;224.517857
10.tyzden.2011;14;280.500000
11.tyzden.2011;12;54.880952
