Week;Nehodovost;Proton10
1.tyzden.2010;438;0.238056
2.tyzden.2010;367;0.232678
3.tyzden.2010;499;0.229702
4.tyzden.2010;470;0.227619
5.tyzden.2010;404;0.225417
6.tyzden.2010;406;0.220060
7.tyzden.2010;369;0.220833
8.tyzden.2010;412;0.225714
9.tyzden.2010;351;0.225238
10.tyzden.2010;434;0.207262
11.tyzden.2010;402;0.214167
12.tyzden.2010;399;0.215476
13.tyzden.2010;331;0.212679
14.tyzden.2010;354;0.193036
15.tyzden.2010;407;0.209048
16.tyzden.2010;401;0.213036
17.tyzden.2010;398;0.214881
18.tyzden.2010;416;0.198928
19.tyzden.2010;386;0.208095
20.tyzden.2010;436;0.220714
21.tyzden.2010;419;0.209881
22.tyzden.2010;433;0.199940
23.tyzden.2010;444;0.223810
24.tyzden.2010;390;0.222679
25.tyzden.2010;360;0.204643
26.tyzden.2010;443;0.199405
27.tyzden.2010;429;0.210000
28.tyzden.2010;408;0.222381
29.tyzden.2010;411;0.220655
30.tyzden.2010;404;0.203155
31.tyzden.2010;391;0.333750
32.tyzden.2010;408;0.553631
33.tyzden.2010;427;0.419226
34.tyzden.2010;414;0.206786
35.tyzden.2010;378;0.213809
36.tyzden.2010;403;0.222619
37.tyzden.2010;417;0.198571
38.tyzden.2010;434;0.206250
39.tyzden.2010;451;0.199643
40.tyzden.2010;428;0.206072
41.tyzden.2010;464;0.198274
42.tyzden.2010;461;0.198512
43.tyzden.2010;477;0.189762
44.tyzden.2010;363;0.205833
45.tyzden.2010;451;0.206250
46.tyzden.2010;461;0.191905
47.tyzden.2010;490;0.198988
48.tyzden.2010;494;0.201131
49.tyzden.2010;437;0.200119
50.tyzden.2010;474;0.185595
51.tyzden.2010;408;0.202560
52.tyzden.2010;314;0.200625
1.tyzden.2011;352;0.178704
2.tyzden.2011;343;0.175952
3.tyzden.2011;369;0.177917
4.tyzden.2011;367;0.291964
5.tyzden.2011;241;0.175952
6.tyzden.2011;291;0.179940
7.tyzden.2011;200;0.272976
8.tyzden.2011;189;0.169583
9.tyzden.2011;253;0.161429
10.tyzden.2011;219;7.144881
11.tyzden.2011;272;0.167262
12.tyzden.2011;249;1.245833
13.tyzden.2011;274;0.158155
14.tyzden.2011;232;0.159524
15.tyzden.2011;249;0.150833
16.tyzden.2011;298;0.152143
17.tyzden.2011;238;0.152917
18.tyzden.2011;267;0.149881
19.tyzden.2011;317;0.164048
20.tyzden.2011;300;0.154881
21.tyzden.2011;307;0.153452
22.tyzden.2011;291;0.223214
23.tyzden.2011;311;7.366429
24.tyzden.2011;289;1.000952
25.tyzden.2011;316;0.145774
26.tyzden.2011;311;0.146012
27.tyzden.2011;260;0.147738
28.tyzden.2011;292;0.146429
29.tyzden.2011;300;0.147619
30.tyzden.2011;262;0.149822
31.tyzden.2011;237;10.764345
32.tyzden.2011;283;1.192083
33.tyzden.2011;322;0.149405
34.tyzden.2011;305;0.148274
35.tyzden.2011;243;0.153631
36.tyzden.2011;289;0.800179
37.tyzden.2011;322;0.143393
38.tyzden.2011;255;3.103869
39.tyzden.2011;333;4.311548
40.tyzden.2011;333;0.157024
41.tyzden.2011;303;0.144643
42.tyzden.2011;330;0.598869
43.tyzden.2011;299;0.447083
44.tyzden.2011;251;0.433333
45.tyzden.2011;239;0.164167
46.tyzden.2011;276;0.149345
47.tyzden.2011;225;6.343571
48.tyzden.2011;296;0.609583
49.tyzden.2011;307;0.154464
50.tyzden.2011;340;0.155655
51.tyzden.2011;347;0.169107
52.tyzden.2011;194;0.231042
1.tyzden.2012;233;0.176510
2.tyzden.2012;256;0.154048
3.tyzden.2012;292;0.412798
4.tyzden.2012;250;570.992798
5.tyzden.2012;199;5.137619
6.tyzden.2012;208;0.159762
7.tyzden.2012;309;0.145476
8.tyzden.2012;225;0.500059
9.tyzden.2012;207;0.190893
10.tyzden.2012;201;489.517738
11.tyzden.2012;209;20.625179
12.tyzden.2012;235;0.149464
13.tyzden.2012;198;0.192619
14.tyzden.2012;215;0.158929
15.tyzden.2012;201;0.146845
16.tyzden.2012;225;0.159583
17.tyzden.2012;294;0.141369
18.tyzden.2012;269;0.146131
19.tyzden.2012;257;0.146845
20.tyzden.2012;248;10.912262
21.tyzden.2012;258;0.679643
22.tyzden.2012;250;0.250119
23.tyzden.2012;292;0.138274
24.tyzden.2012;280;0.644345
25.tyzden.2012;301;0.143750
26.tyzden.2012;279;0.141726
27.tyzden.2012;275;1.977798
28.tyzden.2012;303;7.263750
29.tyzden.2012;249;14.907679
30.tyzden.2012;253;3.697500
31.tyzden.2012;258;0.345298
32.tyzden.2012;258;0.134345
33.tyzden.2012;274;0.127024
34.tyzden.2012;277;0.136905
35.tyzden.2012;265;4.605357
36.tyzden.2012;294;2.155774
37.tyzden.2012;297;0.136250
38.tyzden.2012;270;0.141131
39.tyzden.2012;270;1.121369
40.tyzden.2012;287;0.151429
41.tyzden.2012;273;0.131548
42.tyzden.2012;337;0.130536
43.tyzden.2012;289;0.133869
44.tyzden.2012;268;0.132917
45.tyzden.2012;290;0.329583
46.tyzden.2012;263;0.137262
47.tyzden.2012;299;0.127857
48.tyzden.2012;251;0.127322
49.tyzden.2012;344;0.131191
50.tyzden.2012;344;0.322917
51.tyzden.2012;342;0.134702
52.tyzden.2012;208;0.134219
1.tyzden.2013;185;0.136042
2.tyzden.2013;254;0.136607
3.tyzden.2013;259;0.211191
4.tyzden.2013;231;0.137143
5.tyzden.2013;271;0.137619
6.tyzden.2013;276;0.162917
7.tyzden.2013;242;0.138631
8.tyzden.2013;226;0.139286
9.tyzden.2013;210;0.183571
10.tyzden.2013;202;0.178572
11.tyzden.2013;263;1.519643
12.tyzden.2013;230;0.148929
13.tyzden.2013;272;0.131845
14.tyzden.2013;160;0.137262
15.tyzden.2013;232;7.202083
16.tyzden.2013;252;0.243988
17.tyzden.2013;253;0.263988
18.tyzden.2013;230;0.134881
19.tyzden.2013;249;0.129881
20.tyzden.2013;243;9.457917
21.tyzden.2013;240;1.079286
22.tyzden.2013;238;0.758631
23.tyzden.2013;241;0.137083
24.tyzden.2013;298;0.122441
25.tyzden.2013;325;1.319405
26.tyzden.2013;242;1.024822
27.tyzden.2013;275;0.123750
28.tyzden.2013;252;0.118512
29.tyzden.2013;274;0.125060
30.tyzden.2013;270;0.128631
31.tyzden.2013;249;0.122321
32.tyzden.2013;296;0.121310
33.tyzden.2013;261;0.136726
34.tyzden.2013;256;0.230476
35.tyzden.2013;249;0.130476
36.tyzden.2013;278;0.119822
37.tyzden.2013;262;0.122083
38.tyzden.2013;281;0.121071
39.tyzden.2013;264;0.122619
40.tyzden.2013;242;17.415238
41.tyzden.2013;269;0.141964
42.tyzden.2013;278;0.152976
43.tyzden.2013;277;0.172262
44.tyzden.2013;236;1.164881
45.tyzden.2013;276;0.572083
46.tyzden.2013;268;0.213631
47.tyzden.2013;308;0.287381
48.tyzden.2013;258;0.124107
49.tyzden.2013;311;0.124286
50.tyzden.2013;247;0.202440
51.tyzden.2013;303;0.121131
52.tyzden.2013;280;1.073796
1.tyzden.2014;148;0.154500
2.tyzden.2014;195;151.130357
3.tyzden.2014;216;0.322560
4.tyzden.2014;241;0.360595
5.tyzden.2014;249;0.124107
6.tyzden.2014;200;0.120298
7.tyzden.2014;228;0.124524
8.tyzden.2014;222;0.720476
9.tyzden.2014;196;20.846964
10.tyzden.2014;228;1.195833
11.tyzden.2014;234;0.125417
12.tyzden.2014;253;0.119524
13.tyzden.2014;211;0.218572
14.tyzden.2014;219;0.221905
15.tyzden.2014;250;0.180833
16.tyzden.2014;245;7.450536
17.tyzden.2014;224;0.163393
18.tyzden.2014;256;0.125357
19.tyzden.2014;256;0.165536
20.tyzden.2014;260;0.124762
21.tyzden.2014;310;0.122381
22.tyzden.2014;247;0.123988
23.tyzden.2014;276;0.126905
24.tyzden.2014;268;0.134821
25.tyzden.2014;245;0.117619
26.tyzden.2014;281;0.120774
27.tyzden.2014;248;0.120893
28.tyzden.2014;260;0.132441
29.tyzden.2014;281;0.120060
30.tyzden.2014;263;0.122976
31.tyzden.2014;238;0.125178
32.tyzden.2014;250;0.123571
33.tyzden.2014;246;0.124881
34.tyzden.2014;248;0.128274
35.tyzden.2014;255;0.182738
36.tyzden.2014;220;3.101012
37.tyzden.2014;250;7.734048
38.tyzden.2014;236;0.159524
39.tyzden.2014;247;0.214583
40.tyzden.2014;303;0.148036
41.tyzden.2014;279;0.137321
42.tyzden.2014;304;0.152322
43.tyzden.2014;298;0.152560
44.tyzden.2014;259;0.693929
45.tyzden.2014;253;0.442143
46.tyzden.2014;260;0.131429
47.tyzden.2014;253;0.139405
48.tyzden.2014;234;0.133631
49.tyzden.2014;276;0.142143
50.tyzden.2014;273;0.235595
51.tyzden.2014;323;0.285595
52.tyzden.2014;305;0.316833
1.tyzden.2015;103;0.152291
2.tyzden.2015;103;0.132321
3.tyzden.2015;259;0.134226
4.tyzden.2015;217;0.133988
5.tyzden.2015;240;0.271607
6.tyzden.2015;205;0.130357
7.tyzden.2015;239;0.131845
8.tyzden.2015;220;0.204226
9.tyzden.2015;181;0.173512
tyzden.2015;206;0.822679
11.tyzden.2015;225;0.282917
12.tyzden.2015;221;0.507202
13.tyzden.2015;236;0.155655
tyzden.2015;211;0.126786
15.tyzden.2015;213;0.120000
16.tyzden.2015;240;0.125238
tyzden.2015;257;0.247143
18.tyzden.2015;230;0.145714
19.tyzden.2015;220;0.136548
20.tyzden.2015;251;0.505595
21.tyzden.2015;256;0.122262
22.tyzden.2015;287;0.130357
23.tyzden.2015;310;0.128036
24.tyzden.2015;282;0.131488
25.tyzden.2015;258;2.222024
26.tyzden.2015;256;35.122321
27.tyzden.2015;273;0.599167
28.tyzden.2015;246;0.129881
29.tyzden.2015;275;0.128571
30.tyzden.2015;284;0.130655
31.tyzden.2015;235;0.133631
32.tyzden.2015;266;0.132678
33.tyzden.2015;269;0.130357
34.tyzden.2015;295;0.133750
35.tyzden.2015;272;0.133750
36.tyzden.2015;276;0.134762
37.tyzden.2015;269;0.128393
38.tyzden.2015;264;0.167917
39.tyzden.2015;285;0.163452
40.tyzden.2015;285;0.173512
41.tyzden.2015;261;0.132679
42.tyzden.2015;296;0.132738
43.tyzden.2015;274;0.156369
44.tyzden.2015;287;1.437321
45.tyzden.2015;279;0.140476
46.tyzden.2015;285;0.254702
47.tyzden.2015;260;0.139167
48.tyzden.2015;283;0.145714
49.tyzden.2015;284;0.143810
50.tyzden.2015;292;0.137143
51.tyzden.2015;302;0.139762
52.tyzden.2015;349;0.222727
1.tyzden.2016;241;0.504042
2.tyzden.2016;251;0.143333
3.tyzden.2016;235;0.147619
4.tyzden.2016;228;0.155536
5.tyzden.2016;219;0.146488
6.tyzden.2016;241;0.150595
7.tyzden.2016;239;0.150059
8.tyzden.2016;191;0.151964
9.tyzden.2016;208;0.154702
10.tyzden.2016;210;0.327619
11.tyzden.2016;235;0.183036
12.tyzden.2016;207;0.145833
13.tyzden.2016;175;0.152083
14.tyzden.2016;239;0.153095
15.tyzden.2016;257;0.149822
16.tyzden.2016;246;0.164405
17.tyzden.2016;236;0.153095
18.tyzden.2016;245;0.150595
19.tyzden.2016;269;0.179762
20.tyzden.2016;218;0.180357
21.tyzden.2016;277;0.154881
22.tyzden.2016;260;0.159702
23.tyzden.2016;289;0.159345
24.tyzden.2016;294;0.151786
25.tyzden.2016;302;0.153274
26.tyzden.2016;293;0.157976
27.tyzden.2016;256;0.160714
28.tyzden.2016;277;0.148452
29.tyzden.2016;236;0.161548
30.tyzden.2016;255;0.159464
31.tyzden.2016;251;0.158452
32.tyzden.2016;277;0.155893
33.tyzden.2016;274;0.154881
34.tyzden.2016;281;0.157678
35.tyzden.2016;231;0.160476
36.tyzden.2016;318;0.158452
37.tyzden.2016;299;0.160893
38.tyzden.2016;277;0.164702
39.tyzden.2016;246;0.163869
40.tyzden.2016;253;0.163333
41.tyzden.2016;252;0.166548
42.tyzden.2016;293;0.169345
43.tyzden.2016;260;0.163393
44.tyzden.2016;233;0.167559
45.tyzden.2016;275;0.169643
46.tyzden.2016;281;0.173452
47.tyzden.2016;280;0.165238
48.tyzden.2016;279;0.168988
49.tyzden.2016;300;0.170714
50.tyzden.2016;284;0.174940
51.tyzden.2016;275;0.167440
52.tyzden.2016;194;0.172847
