Week;Nehodovost;Speed
1.tyzden.2010;438;294.000000
2.tyzden.2010;367;413.458333
3.tyzden.2010;499;372.994047
4.tyzden.2010;470;349.708333
5.tyzden.2010;404;419.964286
6.tyzden.2010;406;339.821429
7.tyzden.2010;369;369.214286
8.tyzden.2010;412;351.297619
9.tyzden.2010;351;380.500000
10.tyzden.2010;434;417.130952
11.tyzden.2010;402;401.845238
12.tyzden.2010;399;342.125000
13.tyzden.2010;331;421.166667
14.tyzden.2010;354;541.416667
15.tyzden.2010;407;418.380952
16.tyzden.2010;401;380.482143
17.tyzden.2010;398;357.369048
18.tyzden.2010;416;550.845238
19.tyzden.2010;386;391.208333
20.tyzden.2010;436;394.678571
21.tyzden.2010;419;338.327381
22.tyzden.2010;433;504.851190
23.tyzden.2010;444;395.815476
24.tyzden.2010;390;457.208333
25.tyzden.2010;360;360.553571
26.tyzden.2010;443;571.494048
27.tyzden.2010;429;385.428571
28.tyzden.2010;408;344.714286
29.tyzden.2010;411;331.517857
30.tyzden.2010;404;541.869048
31.tyzden.2010;391;478.077381
32.tyzden.2010;408;400.898810
33.tyzden.2010;427;348.041667
34.tyzden.2010;414;537.303571
35.tyzden.2010;378;394.255952
36.tyzden.2010;403;389.333333
37.tyzden.2010;417;376.464286
38.tyzden.2010;434;411.839286
39.tyzden.2010;451;435.535714
40.tyzden.2010;428;319.797619
41.tyzden.2010;464;343.482143
42.tyzden.2010;461;429.815476
43.tyzden.2010;477;511.577381
44.tyzden.2010;363;325.928571
45.tyzden.2010;451;368.535714
46.tyzden.2010;461;497.815476
47.tyzden.2010;490;413.511905
48.tyzden.2010;494;352.095238
49.tyzden.2010;437;336.172619
50.tyzden.2010;474;481.273809
51.tyzden.2010;408;348.434524
52.tyzden.2010;314;357.013889
1.tyzden.2011;352;432.120370
2.tyzden.2011;343;491.142857
3.tyzden.2011;369;428.011905
4.tyzden.2011;367;311.583333
5.tyzden.2011;241;431.202381
6.tyzden.2011;291;392.922619
7.tyzden.2011;200;429.386905
8.tyzden.2011;189;355.500000
9.tyzden.2011;253;508.970238
10.tyzden.2011;219;417.434524
11.tyzden.2011;272;410.625000
12.tyzden.2011;249;398.065476
13.tyzden.2011;274;414.886905
14.tyzden.2011;232;468.922619
15.tyzden.2011;249;418.601190
16.tyzden.2011;298;418.452381
17.tyzden.2011;238;457.720238
18.tyzden.2011;267;461.660714
19.tyzden.2011;317;358.196428
20.tyzden.2011;300;443.244048
21.tyzden.2011;307;451.333333
22.tyzden.2011;291;499.559524
23.tyzden.2011;311;437.178571
24.tyzden.2011;289;455.023810
25.tyzden.2011;316;517.666667
26.tyzden.2011;311;382.446429
27.tyzden.2011;260;386.940476
28.tyzden.2011;292;488.541667
29.tyzden.2011;300;560.261905
30.tyzden.2011;262;447.416667
31.tyzden.2011;237;474.964286
32.tyzden.2011;283;465.327381
33.tyzden.2011;322;412.059524
34.tyzden.2011;305;428.255952
35.tyzden.2011;243;370.005952
36.tyzden.2011;289;433.095238
37.tyzden.2011;322;499.541667
38.tyzden.2011;255;374.922619
39.tyzden.2011;333;503.827381
40.tyzden.2011;333;373.083333
41.tyzden.2011;303;390.488095
42.tyzden.2011;330;359.922619
43.tyzden.2011;299;377.529762
44.tyzden.2011;251;349.696428
45.tyzden.2011;239;375.803571
46.tyzden.2011;276;374.154762
47.tyzden.2011;225;367.142857
48.tyzden.2011;296;430.553572
49.tyzden.2011;307;348.023810
50.tyzden.2011;340;367.678572
51.tyzden.2011;347;360.029762
52.tyzden.2011;194;326.513889
1.tyzden.2012;233;383.213542
2.tyzden.2012;256;430.327381
3.tyzden.2012;292;381.952381
4.tyzden.2012;250;476.172619
5.tyzden.2012;199;399.696429
6.tyzden.2012;208;413.011905
7.tyzden.2012;309;370.023810
8.tyzden.2012;225;449.083334
9.tyzden.2012;207;429.994048
10.tyzden.2012;201;491.636905
11.tyzden.2012;209;596.244048
12.tyzden.2012;235;418.613095
13.tyzden.2012;198;365.619048
14.tyzden.2012;215;339.565476
15.tyzden.2012;201;433.839286
16.tyzden.2012;225;355.125000
17.tyzden.2012;294;482.619048
18.tyzden.2012;269;308.261905
19.tyzden.2012;257;478.053571
20.tyzden.2012;248;399.928571
21.tyzden.2012;258;443.345238
22.tyzden.2012;250;372.678571
23.tyzden.2012;292;565.720238
24.tyzden.2012;280;381.422619
25.tyzden.2012;301;398.857143
26.tyzden.2012;279;463.916667
27.tyzden.2012;275;508.482143
28.tyzden.2012;303;447.261905
29.tyzden.2012;249;447.220238
30.tyzden.2012;253;407.255952
31.tyzden.2012;258;401.208333
32.tyzden.2012;258;353.976190
