"Year";"Correlation";"parameter"
"all";-0.534843012090717;"Lyman alpha solar index"
"all";-0.473541643116247;"Solar index_F10.7"
"all";-0.434079406994535;"R sunspot number"
"all";-0.262231962197356;"Kp index"
"all";-0.249107038788677;"AU index"
"all";-0.233477161791858;"AE index"
"all";-0.219329584240758;"Ap index"
"all";0.211827984553476;"AL index"
"all";-0.16170653299802;"Solar wind density"
"all";-0.111137228583178;"Solar wind temperature"
"all";0.102238101971032;"Dst index"
"all";-0.0830763603630114;"Proton flux over 30 MeV"
"all";-0.0826589149190125;"Proton flux over 10 MeV"
"all";-0.0734261428110342;"Proton flux over 60 MeV"
"all";-0.0633550939055981;"Solar wind speed"
