"Year";"Correlation";"parameter"
"all";-0.246852275809006;"Lyman alpha solar index"
"all";-0.189946219791787;"Solar index_F10.7"
"all";-0.158686122253574;"Solar wind density"
"all";-0.155055567339553;"Kp index"
"all";-0.143356516973565;"Ap index"
"all";-0.119047971891569;"R sunspot number"
"all";-0.0889895480692373;"AE index"
"all";0.0881373370236459;"AL index"
"all";0.0830547741649846;"Dst index"
"all";-0.0826423092323531;"Solar wind temperature"
"all";-0.0811321614655385;"AU index"
"all";-0.0496538248255003;"Proton flux over 10 MeV"
"all";-0.0464029742248396;"Proton flux over 30 MeV"
"all";-0.0427206433982399;"Solar wind speed"
"all";-0.0416762080746855;"Proton flux over 60 MeV"
