Week;Nehodovost;Ap
1.tyzden.2013;185;2.520833
2.tyzden.2013;254;4.553571
3.tyzden.2013;259;8.910714
4.tyzden.2013;231;6.196429
5.tyzden.2013;271;4.303571
6.tyzden.2013;276;4.339286
7.tyzden.2013;242;8.178571
8.tyzden.2013;226;6.500000
9.tyzden.2013;210;10.892857
10.tyzden.2013;202;3.571429
11.tyzden.2013;263;15.071429
12.tyzden.2013;230;7.821429
13.tyzden.2013;272;12.178571
14.tyzden.2013;160;3.785714
15.tyzden.2013;232;5.160714
16.tyzden.2013;252;2.535714
17.tyzden.2013;253;10.303571
18.tyzden.2013;230;9.392857
19.tyzden.2013;249;5.089286
20.tyzden.2013;243;10.464286
21.tyzden.2013;240;14.875000
22.tyzden.2013;238;15.285714
23.tyzden.2013;241;12.375000
24.tyzden.2013;298;4.303571
25.tyzden.2013;325;10.053571
26.tyzden.2013;242;16.607143
27.tyzden.2013;275;8.196429
28.tyzden.2013;252;14.250000
29.tyzden.2013;274;10.410714
30.tyzden.2013;270;7.232143
31.tyzden.2013;249;5.410714
32.tyzden.2013;296;5.785714
33.tyzden.2013;261;10.607143
34.tyzden.2013;256;9.357143
35.tyzden.2013;249;8.696429
36.tyzden.2013;278;5.142857
37.tyzden.2013;262;5.196429
38.tyzden.2013;281;7.232143
39.tyzden.2013;264;3.285714
40.tyzden.2013;242;10.089286
41.tyzden.2013;269;10.000000
42.tyzden.2013;278;8.339286
43.tyzden.2013;277;2.303571
44.tyzden.2013;236;5.803571
45.tyzden.2013;276;9.000000
46.tyzden.2013;268;7.928571
47.tyzden.2013;308;2.589286
48.tyzden.2013;258;4.017857
49.tyzden.2013;311;7.392857
50.tyzden.2013;247;4.892857
51.tyzden.2013;303;3.571429
52.tyzden.2013;280;2.722222
