Week;Zraneni;Ap
1.tyzden.2018;12;3.946429
2.tyzden.2018;22;6.375000
3.tyzden.2018;18;5.464286
4.tyzden.2018;15;7.000000
5.tyzden.2018;10;3.571429
6.tyzden.2018;18;4.017857
7.tyzden.2018;15;7.071429
8.tyzden.2018;13;8.285714
9.tyzden.2018;10;7.214286
10.tyzden.2018;15;5.803571
11.tyzden.2018;16;11.875000
12.tyzden.2018;9;9.821429
13.tyzden.2018;16;5.285714
14.tyzden.2018;22;4.357143
15.tyzden.2018;14;9.410714
16.tyzden.2018;30;10.089286
17.tyzden.2018;12;3.982143
18.tyzden.2018;13;9.535714
19.tyzden.2018;9;12.089286
20.tyzden.2018;19;3.892857
21.tyzden.2018;18;3.696429
22.tyzden.2018;22;9.964286
23.tyzden.2018;27;4.232143
24.tyzden.2018;14;3.214286
25.tyzden.2018;18;7.964286
26.tyzden.2018;18;7.321429
27.tyzden.2018;19;5.821429
28.tyzden.2018;18;4.821429
29.tyzden.2018;26;5.785714
30.tyzden.2018;28;5.964286
31.tyzden.2018;31;4.517857
32.tyzden.2018;23;5.375000
33.tyzden.2018;17;8.375000
34.tyzden.2018;37;16.107143
35.tyzden.2018;15;7.750000
36.tyzden.2018;13;5.750000
37.tyzden.2018;14;15.303571
38.tyzden.2018;17;9.035714
39.tyzden.2018;14;6.928571
40.tyzden.2018;35;8.607143
41.tyzden.2018;19;11.714286
42.tyzden.2018;19;3.321429
43.tyzden.2018;13;3.982143
44.tyzden.2018;21;5.035714
45.tyzden.2018;23;12.821429
46.tyzden.2018;22;2.875000
47.tyzden.2018;23;3.357143
48.tyzden.2018;17;4.178571
49.tyzden.2018;23;7.696429
50.tyzden.2018;22;3.875000
51.tyzden.2018;20;4.946429
52.tyzden.2018;6;7.160714
