Week;Nehodovost;Dst
1.tyzden.2014;148;-13.266667
2.tyzden.2014;195;-5.785714
3.tyzden.2014;216;-2.053572
4.tyzden.2014;241;-4.583333
5.tyzden.2014;249;-2.595238
6.tyzden.2014;200;-9.184524
7.tyzden.2014;228;-6.720238
8.tyzden.2014;222;-38.744048
9.tyzden.2014;196;-27.571429
10.tyzden.2014;228;-8.416667
11.tyzden.2014;234;-7.791667
12.tyzden.2014;253;-1.583333
13.tyzden.2014;211;-5.130952
14.tyzden.2014;219;-1.482143
15.tyzden.2014;250;-22.011905
16.tyzden.2014;245;-8.505952
17.tyzden.2014;224;-12.458333
18.tyzden.2014;256;-14.369048
19.tyzden.2014;256;-15.601190
20.tyzden.2014;260;0.303571
21.tyzden.2014;310;-2.946429
22.tyzden.2014;247;1.357143
23.tyzden.2014;276;-0.321429
24.tyzden.2014;268;-2.648810
25.tyzden.2014;245;-7.392857
26.tyzden.2014;281;3.363095
27.tyzden.2014;248;5.732143
28.tyzden.2014;260;-1.553571
29.tyzden.2014;281;5.452381
30.tyzden.2014;263;1.464286
31.tyzden.2014;238;0.553571
32.tyzden.2014;250;-9.154762
33.tyzden.2014;246;0.041667
34.tyzden.2014;248;-4.684524
35.tyzden.2014;255;-21.041666
36.tyzden.2014;220;-15.297619
37.tyzden.2014;250;-15.458333
38.tyzden.2014;236;-11.178572
39.tyzden.2014;247;-23.154762
40.tyzden.2014;303;-14.327381
41.tyzden.2014;279;-14.702381
42.tyzden.2014;304;-16.863095
43.tyzden.2014;298;-29.285714
44.tyzden.2014;259;-18.494048
45.tyzden.2014;253;-13.333333
46.tyzden.2014;260;-24.916667
47.tyzden.2014;253;-26.273809
48.tyzden.2014;234;-10.708333
49.tyzden.2014;276;-14.839286
50.tyzden.2014;273;-25.148810
51.tyzden.2014;323;-21.255952
52.tyzden.2014;305;-28.000000
