Week;Nehodovost;Kp
1.tyzden.2013;185;5.979167
2.tyzden.2013;254;10.571429
3.tyzden.2013;259;20.071429
4.tyzden.2013;231;12.589286
5.tyzden.2013;271;10.250000
6.tyzden.2013;276;10.660714
7.tyzden.2013;242;17.446429
8.tyzden.2013;226;15.660714
9.tyzden.2013;210;20.053571
10.tyzden.2013;202;8.500000
11.tyzden.2013;263;18.607143
12.tyzden.2013;230;16.857143
13.tyzden.2013;272;20.517857
14.tyzden.2013;160;9.410714
15.tyzden.2013;232;11.892857
16.tyzden.2013;252;5.714286
17.tyzden.2013;253;20.535714
18.tyzden.2013;230;18.321429
19.tyzden.2013;249;12.464286
20.tyzden.2013;243;21.428571
21.tyzden.2013;240;25.482143
22.tyzden.2013;238;20.964286
23.tyzden.2013;241;22.339286
24.tyzden.2013;298;9.714286
25.tyzden.2013;325;20.125000
26.tyzden.2013;242;24.821429
27.tyzden.2013;275;15.482143
28.tyzden.2013;252;25.250000
29.tyzden.2013;274;18.500000
30.tyzden.2013;270;16.142857
31.tyzden.2013;249;11.875000
32.tyzden.2013;296;13.660714
33.tyzden.2013;261;21.071429
34.tyzden.2013;256;19.607143
35.tyzden.2013;249;17.642857
36.tyzden.2013;278;12.357143
37.tyzden.2013;262;12.660714
38.tyzden.2013;281;17.428571
39.tyzden.2013;264;6.839286
40.tyzden.2013;242;11.160714
41.tyzden.2013;269;16.250000
42.tyzden.2013;278;16.035714
43.tyzden.2013;277;5.285714
44.tyzden.2013;236;13.089286
45.tyzden.2013;276;17.767857
46.tyzden.2013;268;15.410714
47.tyzden.2013;308;6.035714
48.tyzden.2013;258;8.839286
49.tyzden.2013;311;13.428571
50.tyzden.2013;247;10.535714
51.tyzden.2013;303;8.875000
52.tyzden.2013;280;6.472222
