Week;Usmrteni;Kp
1.tyzden.2014;6;19.725000
2.tyzden.2014;11;12.660714
3.tyzden.2014;12;7.892857
4.tyzden.2014;7;14.571429
5.tyzden.2014;8;8.357143
6.tyzden.2014;7;18.767857
7.tyzden.2014;14;15.214286
8.tyzden.2014;5;26.875000
9.tyzden.2014;2;13.678571
10.tyzden.2014;2;10.446429
11.tyzden.2014;7;10.178571
12.tyzden.2014;10;12.303571
13.tyzden.2014;2;13.660714
14.tyzden.2014;3;12.410714
15.tyzden.2014;3;17.232143
16.tyzden.2014;3;19.267857
17.tyzden.2014;16;16.607143
18.tyzden.2014;3;14.285714
19.tyzden.2014;3;16.982143
20.tyzden.2014;6;10.285714
21.tyzden.2014;7;11.446429
22.tyzden.2014;6;9.375000
23.tyzden.2014;17;18.285714
24.tyzden.2014;6;12.142857
25.tyzden.2014;3;16.910714
26.tyzden.2014;7;10.535714
27.tyzden.2014;4;9.017857
28.tyzden.2014;6;14.375000
29.tyzden.2014;7;9.250000
30.tyzden.2014;3;11.428571
31.tyzden.2014;2;14.660714
32.tyzden.2014;13;16.232143
33.tyzden.2014;7;12.071429
34.tyzden.2014;17;13.017857
35.tyzden.2014;7;23.214286
36.tyzden.2014;11;19.375000
37.tyzden.2014;6;19.517857
38.tyzden.2014;8;15.875000
39.tyzden.2014;8;25.464286
40.tyzden.2014;5;17.642857
41.tyzden.2014;6;15.535714
42.tyzden.2014;3;20.000000
43.tyzden.2014;6;25.803571
44.tyzden.2014;5;17.982143
45.tyzden.2014;2;21.839286
46.tyzden.2014;12;24.785714
47.tyzden.2014;4;21.750000
48.tyzden.2014;10;13.250000
49.tyzden.2014;5;24.000000
50.tyzden.2014;5;23.107143
51.tyzden.2014;4;19.464286
52.tyzden.2014;11;24.487500
