Week;Zraneni;Kp
1.tyzden.2014;15;19.725000
2.tyzden.2014;15;12.660714
3.tyzden.2014;11;7.892857
4.tyzden.2014;8;14.571429
5.tyzden.2014;15;8.357143
6.tyzden.2014;21;18.767857
7.tyzden.2014;19;15.214286
8.tyzden.2014;24;26.875000
9.tyzden.2014;11;13.678571
10.tyzden.2014;20;10.446429
11.tyzden.2014;11;10.178571
12.tyzden.2014;13;12.303571
13.tyzden.2014;12;13.660714
14.tyzden.2014;15;12.410714
15.tyzden.2014;23;17.232143
16.tyzden.2014;11;19.267857
17.tyzden.2014;10;16.607143
18.tyzden.2014;14;14.285714
19.tyzden.2014;11;16.982143
20.tyzden.2014;17;10.285714
21.tyzden.2014;19;11.446429
22.tyzden.2014;13;9.375000
23.tyzden.2014;20;18.285714
24.tyzden.2014;16;12.142857
25.tyzden.2014;13;16.910714
26.tyzden.2014;11;10.535714
27.tyzden.2014;16;9.017857
28.tyzden.2014;25;14.375000
29.tyzden.2014;22;9.250000
30.tyzden.2014;17;11.428571
31.tyzden.2014;12;14.660714
32.tyzden.2014;9;16.232143
33.tyzden.2014;16;12.071429
34.tyzden.2014;24;13.017857
35.tyzden.2014;11;23.214286
36.tyzden.2014;17;19.375000
37.tyzden.2014;11;19.517857
38.tyzden.2014;17;15.875000
39.tyzden.2014;17;25.464286
40.tyzden.2014;17;17.642857
41.tyzden.2014;19;15.535714
42.tyzden.2014;16;20.000000
43.tyzden.2014;25;25.803571
44.tyzden.2014;13;17.982143
45.tyzden.2014;19;21.839286
46.tyzden.2014;11;24.785714
47.tyzden.2014;14;21.750000
48.tyzden.2014;21;13.250000
49.tyzden.2014;18;24.000000
50.tyzden.2014;20;23.107143
51.tyzden.2014;18;19.464286
52.tyzden.2014;18;24.487500
