Week;Nehodovost;Lyman
1.tyzden.2018;178;3.558571
2.tyzden.2018;211;3.610000
3.tyzden.2018;312;3.625714
4.tyzden.2018;220;3.540000
5.tyzden.2018;229;3.547143
6.tyzden.2018;198;3.624286
7.tyzden.2018;234;3.618571
8.tyzden.2018;198;3.500000
9.tyzden.2018;228;3.497143
10.tyzden.2018;235;3.548571
11.tyzden.2018;229;3.547143
12.tyzden.2018;200;3.511429
13.tyzden.2018;228;3.508571
14.tyzden.2018;231;3.560000
15.tyzden.2018;267;3.567143
16.tyzden.2018;268;3.534286
17.tyzden.2018;273;3.552857
18.tyzden.2018;257;3.527143
19.tyzden.2018;248;3.587143
20.tyzden.2018;269;3.562857
21.tyzden.2018;263;3.584286
22.tyzden.2018;281;3.611429
23.tyzden.2018;276;3.588571
24.tyzden.2018;256;3.601429
25.tyzden.2018;287;3.648571
26.tyzden.2018;263;3.597143
27.tyzden.2018;306;3.538571
28.tyzden.2018;262;3.637143
29.tyzden.2018;283;3.644286
30.tyzden.2018;277;3.551429
31.tyzden.2018;289;3.561429
32.tyzden.2018;291;3.607143
33.tyzden.2018;261;3.550000
34.tyzden.2018;299;3.540000
35.tyzden.2018;253;3.521429
36.tyzden.2018;275;3.555714
37.tyzden.2018;301;3.570000
38.tyzden.2018;291;3.532857
39.tyzden.2018;271;3.528571
40.tyzden.2018;261;3.541429
41.tyzden.2018;298;3.568571
42.tyzden.2018;298;3.541429
43.tyzden.2018;288;3.522857
44.tyzden.2018;250;3.521429
45.tyzden.2018;254;3.501429
46.tyzden.2018;244;3.514286
47.tyzden.2018;286;3.517143
48.tyzden.2018;285;3.502857
49.tyzden.2018;282;3.507143
50.tyzden.2018;329;3.545714
51.tyzden.2018;344;3.521429
52.tyzden.2018;168;3.534286
