Week;Usmrteni;Lyman
1.tyzden.2018;0;3.558571
2.tyzden.2018;2;3.610000
3.tyzden.2018;8;3.625714
4.tyzden.2018;4;3.540000
5.tyzden.2018;6;3.547143
6.tyzden.2018;4;3.624286
7.tyzden.2018;4;3.618571
8.tyzden.2018;0;3.500000
9.tyzden.2018;2;3.497143
10.tyzden.2018;8;3.548571
11.tyzden.2018;1;3.547143
12.tyzden.2018;7;3.511429
13.tyzden.2018;5;3.508571
14.tyzden.2018;5;3.560000
15.tyzden.2018;11;3.567143
16.tyzden.2018;3;3.534286
17.tyzden.2018;8;3.552857
18.tyzden.2018;2;3.527143
19.tyzden.2018;8;3.587143
20.tyzden.2018;5;3.562857
21.tyzden.2018;7;3.584286
22.tyzden.2018;10;3.611429
23.tyzden.2018;8;3.588571
24.tyzden.2018;3;3.601429
25.tyzden.2018;4;3.648571
26.tyzden.2018;7;3.597143
27.tyzden.2018;8;3.538571
28.tyzden.2018;5;3.637143
29.tyzden.2018;6;3.644286
30.tyzden.2018;4;3.551429
31.tyzden.2018;9;3.561429
32.tyzden.2018;12;3.607143
33.tyzden.2018;8;3.550000
34.tyzden.2018;8;3.540000
35.tyzden.2018;6;3.521429
36.tyzden.2018;5;3.555714
37.tyzden.2018;2;3.570000
38.tyzden.2018;11;3.532857
39.tyzden.2018;12;3.528571
40.tyzden.2018;10;3.541429
41.tyzden.2018;4;3.568571
42.tyzden.2018;4;3.541429
43.tyzden.2018;5;3.522857
44.tyzden.2018;7;3.521429
45.tyzden.2018;8;3.501429
46.tyzden.2018;7;3.514286
47.tyzden.2018;5;3.517143
48.tyzden.2018;13;3.502857
49.tyzden.2018;7;3.507143
50.tyzden.2018;8;3.545714
51.tyzden.2018;8;3.521429
52.tyzden.2018;4;3.534286
