Week;Nehodovost;Sunspot
1.tyzden.2015;103;108.250000
2.tyzden.2015;103;102.571429
3.tyzden.2015;259;74.857143
4.tyzden.2015;217;56.571429
5.tyzden.2015;240;132.285714
6.tyzden.2015;205;88.571429
7.tyzden.2015;239;66.142857
8.tyzden.2015;220;60.142857
9.tyzden.2015;181;45.142857
tyzden.2015;206;33.857143
11.tyzden.2015;225;47.714286
12.tyzden.2015;221;43.000000
13.tyzden.2015;236;95.000000
tyzden.2015;211;44.428571
15.tyzden.2015;213;54.285714
16.tyzden.2015;240;114.000000
tyzden.2015;257;103.857143
18.tyzden.2015;230;32.857143
19.tyzden.2015;220;132.571429
20.tyzden.2015;251;140.000000
21.tyzden.2015;256;72.857143
22.tyzden.2015;287;34.142857
23.tyzden.2015;310;74.714286
24.tyzden.2015;282;96.714286
25.tyzden.2015;258;67.714286
26.tyzden.2015;256;34.285714
27.tyzden.2015;273;72.142857
28.tyzden.2015;246;101.142857
29.tyzden.2015;275;48.714286
30.tyzden.2015;284;34.571429
31.tyzden.2015;235;63.142857
32.tyzden.2015;266;90.571429
33.tyzden.2015;269;55.857143
34.tyzden.2015;295;58.857143
35.tyzden.2015;272;58.285714
36.tyzden.2015;276;35.714286
37.tyzden.2015;269;63.142857
38.tyzden.2015;264;69.285714
39.tyzden.2015;285;120.571429
40.tyzden.2015;285;84.285714
41.tyzden.2015;261;25.714286
42.tyzden.2015;296;59.857143
43.tyzden.2015;274;87.428571
44.tyzden.2015;287;81.142857
45.tyzden.2015;279;88.428571
46.tyzden.2015;285;58.285714
47.tyzden.2015;260;47.142857
48.tyzden.2015;283;57.857143
49.tyzden.2015;284;43.000000
50.tyzden.2015;292;74.428571
51.tyzden.2015;302;56.285714
52.tyzden.2015;349;56.363636
