Week;Usmrteni;Sunspot
1.tyzden.2018;0;6.714286
2.tyzden.2018;2;10.428571
3.tyzden.2018;8;9.714286
4.tyzden.2018;4;0.000000
5.tyzden.2018;6;4.857143
6.tyzden.2018;4;21.285714
7.tyzden.2018;4;13.714286
8.tyzden.2018;0;0.000000
9.tyzden.2018;2;9.428571
10.tyzden.2018;8;0.000000
11.tyzden.2018;1;4.000000
12.tyzden.2018;7;0.000000
13.tyzden.2018;5;5.142857
14.tyzden.2018;5;0.000000
15.tyzden.2018;11;9.285714
16.tyzden.2018;3;14.428571
17.tyzden.2018;8;13.000000
18.tyzden.2018;2;6.000000
19.tyzden.2018;8;14.857143
20.tyzden.2018;5;0.000000
21.tyzden.2018;7;25.000000
22.tyzden.2018;10;20.285714
23.tyzden.2018;8;3.000000
24.tyzden.2018;3;11.857143
25.tyzden.2018;4;37.571429
26.tyzden.2018;7;6.285714
27.tyzden.2018;8;0.000000
28.tyzden.2018;5;5.285714
29.tyzden.2018;6;1.714286
30.tyzden.2018;4;0.000000
31.tyzden.2018;9;3.285714
32.tyzden.2018;12;0.000000
33.tyzden.2018;8;10.714286
34.tyzden.2018;8;21.142857
35.tyzden.2018;6;3.428571
36.tyzden.2018;5;4.285714
37.tyzden.2018;2;6.000000
38.tyzden.2018;11;1.857143
39.tyzden.2018;12;2.142857
40.tyzden.2018;10;7.714286
41.tyzden.2018;4;9.571429
42.tyzden.2018;4;4.428571
43.tyzden.2018;5;0.000000
44.tyzden.2018;7;0.000000
45.tyzden.2018;8;4.714286
46.tyzden.2018;7;13.428571
47.tyzden.2018;5;5.857143
48.tyzden.2018;13;1.428571
49.tyzden.2018;7;8.714286
50.tyzden.2018;8;5.000000
51.tyzden.2018;8;0.000000
52.tyzden.2018;4;0.000000
