Week;Usmrteni;Solar
1.tyzden.2012;11;130.872917
2.tyzden.2012;5;124.071429
3.tyzden.2012;8;139.357143
4.tyzden.2012;6;124.728571
5.tyzden.2012;3;109.214286
6.tyzden.2012;0;104.185714
7.tyzden.2012;3;102.742857
8.tyzden.2012;16;104.342857
9.tyzden.2012;2;106.514286
10.tyzden.2012;3;136.657143
11.tyzden.2012;9;111.357143
12.tyzden.2012;9;101.100000
13.tyzden.2012;3;107.485714
14.tyzden.2012;1;100.342857
15.tyzden.2012;4;96.814286
16.tyzden.2012;10;132.628571
17.tyzden.2012;8;126.871429
18.tyzden.2012;7;116.314286
19.tyzden.2012;9;130.971429
20.tyzden.2012;2;134.514286
21.tyzden.2012;14;119.728571
22.tyzden.2012;17;122.228571
23.tyzden.2012;5;136.528571
24.tyzden.2012;9;142.985714
25.tyzden.2012;11;101.385714
26.tyzden.2012;13;116.428571
27.tyzden.2012;11;167.314286
28.tyzden.2012;9;163.828571
29.tyzden.2012;6;113.185714
30.tyzden.2012;13;117.928571
31.tyzden.2012;1;143.100000
32.tyzden.2012;2;129.842857
33.tyzden.2012;13;102.685714
34.tyzden.2012;12;102.957143
35.tyzden.2012;4;129.100000
36.tyzden.2012;11;134.214286
37.tyzden.2012;7;103.128571
38.tyzden.2012;13;116.357143
39.tyzden.2012;12;137.471429
40.tyzden.2012;14;110.085714
41.tyzden.2012;6;116.257143
42.tyzden.2012;11;139.400000
43.tyzden.2012;7;131.614286
44.tyzden.2012;6;98.757143
45.tyzden.2012;3;108.157143
46.tyzden.2012;9;138.128571
47.tyzden.2012;8;126.700000
48.tyzden.2012;8;107.857143
49.tyzden.2012;6;95.357143
50.tyzden.2012;7;110.371429
51.tyzden.2012;16;110.985714
52.tyzden.2012;8;105.537500
