Week;Zraneni;Solar
1.tyzden.2010;24;74.544444
2.tyzden.2010;19;85.228571
3.tyzden.2010;26;80.185714
4.tyzden.2010;20;75.885714
5.tyzden.2010;21;74.842857
6.tyzden.2010;23;90.514286
7.tyzden.2010;21;84.157143
8.tyzden.2010;27;80.571429
9.tyzden.2010;22;77.914286
10.tyzden.2010;21;81.271429
11.tyzden.2010;24;85.071429
12.tyzden.2010;20;84.800000
13.tyzden.2010;13;80.671429
14.tyzden.2010;25;77.100000
15.tyzden.2010;18;75.085714
16.tyzden.2010;18;76.057143
17.tyzden.2010;30;77.485714
18.tyzden.2010;19;81.642857
19.tyzden.2010;27;73.371429
20.tyzden.2010;20;71.228571
21.tyzden.2010;25;75.100000
22.tyzden.2010;34;74.742857
23.tyzden.2010;36;74.142857
24.tyzden.2010;23;73.814286
25.tyzden.2010;18;75.642857
26.tyzden.2010;32;75.742857
27.tyzden.2010;23;77.785714
28.tyzden.2010;32;81.171429
29.tyzden.2010;23;87.342857
30.tyzden.2010;23;86.428571
31.tyzden.2010;26;84.628571
32.tyzden.2010;32;86.385714
33.tyzden.2010;15;82.228571
34.tyzden.2010;30;75.171429
35.tyzden.2010;27;78.000000
36.tyzden.2010;25;78.228571
37.tyzden.2010;31;81.800000
38.tyzden.2010;27;83.885714
39.tyzden.2010;17;86.342857
40.tyzden.2010;24;75.957143
41.tyzden.2010;22;78.742857
42.tyzden.2010;20;84.214286
43.tyzden.2010;31;84.485714
44.tyzden.2010;28;79.900000
45.tyzden.2010;29;83.171429
46.tyzden.2010;23;85.242857
47.tyzden.2010;19;74.371429
48.tyzden.2010;14;82.800000
49.tyzden.2010;28;84.957143
50.tyzden.2010;22;83.128571
51.tyzden.2010;23;76.371429
52.tyzden.2010;21;80.216667
