Week;Usmrteni;Density
1.tyzden.2012;11;5.939583
2.tyzden.2012;5;5.175595
3.tyzden.2012;8;8.545833
4.tyzden.2012;6;3.632143
5.tyzden.2012;3;6.776786
6.tyzden.2012;0;5.746428
7.tyzden.2012;3;8.641667
8.tyzden.2012;16;4.889881
9.tyzden.2012;2;6.244643
10.tyzden.2012;3;5.863095
11.tyzden.2012;9;3.200595
12.tyzden.2012;9;5.346428
13.tyzden.2012;3;7.744048
14.tyzden.2012;1;7.289286
15.tyzden.2012;4;6.143452
16.tyzden.2012;10;6.574405
17.tyzden.2012;8;4.920238
18.tyzden.2012;7;6.196429
19.tyzden.2012;9;5.628571
20.tyzden.2012;2;4.641071
21.tyzden.2012;14;4.498214
22.tyzden.2012;17;7.688095
23.tyzden.2012;5;2.700595
24.tyzden.2012;9;6.457143
25.tyzden.2012;11;2.021429
26.tyzden.2012;13;5.882738
27.tyzden.2012;11;4.490476
28.tyzden.2012;9;5.053571
29.tyzden.2012;6;2.991667
30.tyzden.2012;13;5.825000
31.tyzden.2012;1;4.498214
32.tyzden.2012;2;6.308929
33.tyzden.2012;13;5.278571
34.tyzden.2012;12;4.427976
35.tyzden.2012;4;3.340476
36.tyzden.2012;11;6.158333
37.tyzden.2012;7;6.189286
38.tyzden.2012;13;4.401190
39.tyzden.2012;12;6.246428
40.tyzden.2012;14;6.554167
41.tyzden.2012;6;4.902381
42.tyzden.2012;11;3.054762
43.tyzden.2012;7;4.100595
44.tyzden.2012;6;8.057143
45.tyzden.2012;3;7.191071
46.tyzden.2012;9;5.718452
47.tyzden.2012;8;5.130953
48.tyzden.2012;8;5.548214
49.tyzden.2012;6;7.295833
50.tyzden.2012;7;8.960119
51.tyzden.2012;16;3.887500
52.tyzden.2012;8;7.229688
