Week;Nehodovost;Speed
1.tyzden.2016;241;475.154167
2.tyzden.2016;251;453.261905
3.tyzden.2016;235;425.148809
4.tyzden.2016;228;336.892857
5.tyzden.2016;219;384.696429
6.tyzden.2016;241;378.279762
7.tyzden.2016;239;499.500000
8.tyzden.2016;191;356.309524
9.tyzden.2016;208;386.136905
10.tyzden.2016;210;439.315476
11.tyzden.2016;235;463.773810
12.tyzden.2016;207;428.505952
13.tyzden.2016;175;452.392857
14.tyzden.2016;239;366.940476
15.tyzden.2016;257;421.690476
16.tyzden.2016;246;418.654762
17.tyzden.2016;236;423.113095
18.tyzden.2016;245;465.166667
19.tyzden.2016;269;460.470238
20.tyzden.2016;218;487.779762
21.tyzden.2016;277;430.809524
22.tyzden.2016;260;403.375000
23.tyzden.2016;289;449.839286
24.tyzden.2016;294;549.803571
25.tyzden.2016;302;437.625000
26.tyzden.2016;293;407.047619
27.tyzden.2016;256;473.250000
28.tyzden.2016;277;548.273810
29.tyzden.2016;236;413.779762
30.tyzden.2016;255;416.654762
31.tyzden.2016;251;503.785714
32.tyzden.2016;277;526.035714
33.tyzden.2016;274;334.886905
34.tyzden.2016;281;444.898810
35.tyzden.2016;231;516.678572
36.tyzden.2016;318;454.642857
37.tyzden.2016;299;304.952381
38.tyzden.2016;277;456.541667
39.tyzden.2016;246;570.458333
40.tyzden.2016;253;454.613095
41.tyzden.2016;252;429.184524
42.tyzden.2016;293;482.672619
43.tyzden.2016;260;572.351191
44.tyzden.2016;233;406.244048
45.tyzden.2016;275;439.202381
46.tyzden.2016;281;430.107143
47.tyzden.2016;280;495.339286
48.tyzden.2016;279;368.750000
49.tyzden.2016;300;498.476191
50.tyzden.2016;284;437.375000
51.tyzden.2016;275;548.601191
52.tyzden.2016;194;475.701389
