Week;Usmrteni;Speed
1.tyzden.2018;0;363.273810
2.tyzden.2018;2;424.380952
3.tyzden.2018;8;393.023810
4.tyzden.2018;4;423.666667
5.tyzden.2018;6;351.255952
6.tyzden.2018;4;371.714286
7.tyzden.2018;4;382.910714
8.tyzden.2018;0;450.791667
9.tyzden.2018;2;386.476190
10.tyzden.2018;8;378.142857
11.tyzden.2018;1;424.988095
12.tyzden.2018;7;426.672619
13.tyzden.2018;5;432.178571
14.tyzden.2018;5;368.214286
15.tyzden.2018;11;452.940476
16.tyzden.2018;3;388.928571
17.tyzden.2018;8;360.517857
18.tyzden.2018;2;413.059524
19.tyzden.2018;8;536.732143
20.tyzden.2018;5;370.428571
21.tyzden.2018;7;372.166667
22.tyzden.2018;10;482.279762
23.tyzden.2018;8;402.619047
24.tyzden.2018;3;308.827381
25.tyzden.2018;4;432.505952
26.tyzden.2018;7;462.327381
27.tyzden.2018;8;387.476191
28.tyzden.2018;5;391.880952
29.tyzden.2018;6;410.357143
30.tyzden.2018;4;432.470238
31.tyzden.2018;9;352.488095
32.tyzden.2018;12;370.273810
33.tyzden.2018;8;432.017857
34.tyzden.2018;8;464.910714
35.tyzden.2018;6;444.744048
36.tyzden.2018;5;398.029762
37.tyzden.2018;2;498.136905
38.tyzden.2018;11;437.827381
39.tyzden.2018;12;422.672619
40.tyzden.2018;10;412.922619
41.tyzden.2018;4;493.357143
42.tyzden.2018;4;404.839286
43.tyzden.2018;5;351.494048
44.tyzden.2018;7;333.148809
45.tyzden.2018;8;490.994047
46.tyzden.2018;7;414.654762
47.tyzden.2018;5;363.934524
48.tyzden.2018;13;367.720238
49.tyzden.2018;7;472.000000
50.tyzden.2018;8;426.821429
51.tyzden.2018;8;431.458333
52.tyzden.2018;4;423.505952
