Week;Zraneni;Speed
1.tyzden.2017;16;558.713542
2.tyzden.2017;7;452.273809
3.tyzden.2017;10;464.244048
4.tyzden.2017;6;442.571428
5.tyzden.2017;20;598.178571
6.tyzden.2017;6;444.291667
7.tyzden.2017;12;409.833333
8.tyzden.2017;10;477.166667
9.tyzden.2017;12;559.720238
10.tyzden.2017;11;498.077381
11.tyzden.2017;9;340.553571
12.tyzden.2017;16;497.333333
13.tyzden.2017;22;602.375000
14.tyzden.2017;10;450.994048
15.tyzden.2017;16;394.565476
16.tyzden.2017;15;508.541667
17.tyzden.2017;13;485.196429
18.tyzden.2017;27;369.607143
19.tyzden.2017;20;357.166667
20.tyzden.2017;21;519.333333
21.tyzden.2017;16;411.113095
22.tyzden.2017;21;399.601190
23.tyzden.2017;16;327.797619
24.tyzden.2017;13;476.672619
25.tyzden.2017;13;380.928572
26.tyzden.2017;33;425.660714
27.tyzden.2017;18;372.851191
28.tyzden.2017;14;450.589286
29.tyzden.2017;25;523.125000
30.tyzden.2017;20;492.815476
31.tyzden.2017;35;475.410714
32.tyzden.2017;17;464.470238
33.tyzden.2017;24;525.565476
34.tyzden.2017;15;433.815476
35.tyzden.2017;17;458.226190
36.tyzden.2017;14;544.577381
37.tyzden.2017;24;567.946428
38.tyzden.2017;15;437.267857
39.tyzden.2017;17;483.279762
40.tyzden.2017;13;401.898810
41.tyzden.2017;22;493.613095
42.tyzden.2017;22;428.297619
43.tyzden.2017;8;444.422619
44.tyzden.2017;14;342.113095
45.tyzden.2017;21;506.547619
46.tyzden.2017;20;405.982143
47.tyzden.2017;14;413.904762
48.tyzden.2017;13;410.821429
49.tyzden.2017;26;430.821428
50.tyzden.2017;16;418.315476
51.tyzden.2017;15;439.797619
52.tyzden.2017;10;406.958333
