Week;Nehodovost;Temperature
1.tyzden.2011;352;91540.023148
2.tyzden.2011;343;109855.053571
3.tyzden.2011;369;73039.380952
4.tyzden.2011;367;25294.244048
5.tyzden.2011;241;100872.029762
6.tyzden.2011;291;61383.970238
7.tyzden.2011;200;126887.458334
8.tyzden.2011;189;54002.654762
9.tyzden.2011;253;129179.535714
10.tyzden.2011;219;80028.910714
11.tyzden.2011;272;69265.488095
12.tyzden.2011;249;83551.202381
13.tyzden.2011;274;102848.500000
14.tyzden.2011;232;98992.863095
15.tyzden.2011;249;89798.029762
16.tyzden.2011;298;97567.291667
17.tyzden.2011;238;121459.625000
18.tyzden.2011;267;83563.404762
19.tyzden.2011;317;58798.571429
20.tyzden.2011;300;91083.047619
21.tyzden.2011;307;154931.809524
22.tyzden.2011;291;87856.565476
23.tyzden.2011;311;127996.773809
24.tyzden.2011;289;95707.898809
25.tyzden.2011;316;129376.541667
26.tyzden.2011;311;55808.785714
27.tyzden.2011;260;74144.077381
28.tyzden.2011;292;142582.476191
29.tyzden.2011;300;157926.488095
30.tyzden.2011;262;134322.690476
31.tyzden.2011;237;153217.458333
32.tyzden.2011;283;88556.839286
33.tyzden.2011;322;79613.232143
34.tyzden.2011;305;86145.976190
35.tyzden.2011;243;75410.005952
36.tyzden.2011;289;110043.232143
37.tyzden.2011;322;101667.541667
38.tyzden.2011;255;66739.470238
39.tyzden.2011;333;116042.755952
40.tyzden.2011;333;41790.898810
41.tyzden.2011;303;73410.386905
42.tyzden.2011;330;56306.470238
43.tyzden.2011;299;72801.833333
44.tyzden.2011;251;40720.309524
45.tyzden.2011;239;81862.404762
46.tyzden.2011;276;65432.654762
47.tyzden.2011;225;85682.095238
48.tyzden.2011;296;89326.529762
49.tyzden.2011;307;59263.511905
50.tyzden.2011;340;49119.821428
51.tyzden.2011;347;72568.369048
52.tyzden.2011;194;42503.618055
