"Year";"Correlation";"parameter"
2010;0.186864245792478;"R sunspot number"
2010;0.152216984714016;"Lyman alpha solar index"
2010;-0.12509169586297;"Ap index"
2010;-0.0917620935942979;"Proton flux over 30 MeV"
2010;-0.0841916374915563;"Proton flux over 60 MeV"
2010;-0.0840612846575136;"Kp index"
2010;0.0818338463998429;"Dst index"
2010;-0.0753137356323885;"Proton flux over 10 MeV"
2010;0.0628690820501917;"Solar wind speed"
2010;0.0433828665380922;"Solar index_F10.7"
2010;0.0120913933903133;"Solar wind temperature"
2010;-0.000925184114292813;"Solar wind density"
