"Year";"Correlation";"parameter"
2018;0.25751933805644;"Proton flux over 30 MeV"
2018;0.252428616977862;"Proton flux over 60 MeV"
2018;0.1965809769879;"Solar index_F10.7"
2018;0.122645954961622;"R sunspot number"
2018;0.113566286901889;"Proton flux over 10 MeV"
2018;0.100072549824738;"Lyman alpha solar index"
2018;0.0820823682304559;"Ap index"
2018;0.0594812006776492;"Dst index"
2018;-0.0438057249689576;"Kp index"
2018;0.0195659302499632;"Solar wind speed"
2018;0.0173539679769541;"Solar wind density"
2018;0.00118464353563137;"Solar wind temperature"
