Week;Nehodovost;Lyman
1.tyzden.2010;438;3.623333
2.tyzden.2010;367;3.784286
3.tyzden.2010;499;3.682857
4.tyzden.2010;470;3.687143
5.tyzden.2010;404;3.654286
6.tyzden.2010;406;3.891429
7.tyzden.2010;369;3.847143
8.tyzden.2010;412;3.765714
9.tyzden.2010;351;3.714286
10.tyzden.2010;434;3.802857
11.tyzden.2010;402;3.898571
12.tyzden.2010;399;3.817143
13.tyzden.2010;331;3.737143
14.tyzden.2010;354;3.801429
15.tyzden.2010;407;3.760000
16.tyzden.2010;401;3.760000
17.tyzden.2010;398;3.805714
18.tyzden.2010;416;3.870000
19.tyzden.2010;386;3.730000
20.tyzden.2010;436;3.675714
21.tyzden.2010;419;3.751429
22.tyzden.2010;433;3.740000
23.tyzden.2010;444;3.671429
24.tyzden.2010;390;3.725714
25.tyzden.2010;360;3.775714
26.tyzden.2010;443;3.815714
27.tyzden.2010;429;3.770000
28.tyzden.2010;408;3.864286
29.tyzden.2010;411;3.862857
30.tyzden.2010;404;3.912857
31.tyzden.2010;391;3.880000
32.tyzden.2010;408;3.958571
33.tyzden.2010;427;3.840000
34.tyzden.2010;414;3.750000
35.tyzden.2010;378;3.814286
36.tyzden.2010;403;3.855714
37.tyzden.2010;417;3.892857
38.tyzden.2010;434;3.914286
39.tyzden.2010;451;3.848571
40.tyzden.2010;428;3.750000
41.tyzden.2010;464;3.837143
42.tyzden.2010;461;3.922857
43.tyzden.2010;477;3.845714
44.tyzden.2010;363;3.691429
45.tyzden.2010;451;3.912857
46.tyzden.2010;461;3.934286
47.tyzden.2010;490;3.832857
48.tyzden.2010;494;3.784286
49.tyzden.2010;437;3.912857
50.tyzden.2010;474;3.912857
51.tyzden.2010;408;3.888571
52.tyzden.2010;314;3.741667
1.tyzden.2011;352;3.966667
2.tyzden.2011;343;3.798571
3.tyzden.2011;369;3.820000
4.tyzden.2011;367;3.710000
5.tyzden.2011;241;3.872857
6.tyzden.2011;291;3.925714
7.tyzden.2011;200;4.040000
8.tyzden.2011;189;3.764286
9.tyzden.2011;253;4.045714
10.tyzden.2011;219;4.175714
11.tyzden.2011;272;3.957143
12.tyzden.2011;249;3.964286
13.tyzden.2011;274;4.427143
14.tyzden.2011;232;4.360000
15.tyzden.2011;249;4.217143
16.tyzden.2011;298;4.148571
17.tyzden.2011;238;4.364286
18.tyzden.2011;267;4.327143
19.tyzden.2011;317;4.192857
20.tyzden.2011;300;4.011429
21.tyzden.2011;307;4.102857
22.tyzden.2011;291;4.328571
23.tyzden.2011;311;4.132857
24.tyzden.2011;289;4.098571
25.tyzden.2011;316;4.205714
26.tyzden.2011;311;4.072857
27.tyzden.2011;260;3.988571
