Week;Zraneni;Lyman
1.tyzden.2010;24;3.623333
2.tyzden.2010;19;3.784286
3.tyzden.2010;26;3.682857
4.tyzden.2010;20;3.687143
5.tyzden.2010;21;3.654286
6.tyzden.2010;23;3.891429
7.tyzden.2010;21;3.847143
8.tyzden.2010;27;3.765714
9.tyzden.2010;22;3.714286
10.tyzden.2010;21;3.802857
11.tyzden.2010;24;3.898571
12.tyzden.2010;20;3.817143
13.tyzden.2010;13;3.737143
14.tyzden.2010;25;3.801429
15.tyzden.2010;18;3.760000
16.tyzden.2010;18;3.760000
17.tyzden.2010;30;3.805714
18.tyzden.2010;19;3.870000
19.tyzden.2010;27;3.730000
20.tyzden.2010;20;3.675714
21.tyzden.2010;25;3.751429
22.tyzden.2010;34;3.740000
23.tyzden.2010;36;3.671429
24.tyzden.2010;23;3.725714
25.tyzden.2010;18;3.775714
26.tyzden.2010;32;3.815714
27.tyzden.2010;23;3.770000
28.tyzden.2010;32;3.864286
29.tyzden.2010;23;3.862857
30.tyzden.2010;23;3.912857
31.tyzden.2010;26;3.880000
32.tyzden.2010;32;3.958571
33.tyzden.2010;15;3.840000
34.tyzden.2010;30;3.750000
35.tyzden.2010;27;3.814286
36.tyzden.2010;25;3.855714
37.tyzden.2010;31;3.892857
38.tyzden.2010;27;3.914286
39.tyzden.2010;17;3.848571
40.tyzden.2010;24;3.750000
41.tyzden.2010;22;3.837143
42.tyzden.2010;20;3.922857
43.tyzden.2010;31;3.845714
44.tyzden.2010;28;3.691429
45.tyzden.2010;29;3.912857
46.tyzden.2010;23;3.934286
47.tyzden.2010;19;3.832857
48.tyzden.2010;14;3.784286
49.tyzden.2010;28;3.912857
50.tyzden.2010;22;3.912857
51.tyzden.2010;23;3.888571
52.tyzden.2010;21;3.741667
1.tyzden.2011;11;3.966667
2.tyzden.2011;12;3.798571
3.tyzden.2011;13;3.820000
4.tyzden.2011;19;3.710000
5.tyzden.2011;10;3.872857
6.tyzden.2011;11;3.925714
7.tyzden.2011;9;4.040000
8.tyzden.2011;11;3.764286
9.tyzden.2011;18;4.045714
10.tyzden.2011;14;4.175714
11.tyzden.2011;12;3.957143
12.tyzden.2011;16;3.964286
13.tyzden.2011;24;4.427143
14.tyzden.2011;14;4.360000
15.tyzden.2011;13;4.217143
16.tyzden.2011;18;4.148571
17.tyzden.2011;16;4.364286
18.tyzden.2011;20;4.327143
19.tyzden.2011;17;4.192857
20.tyzden.2011;23;4.011429
21.tyzden.2011;23;4.102857
22.tyzden.2011;30;4.328571
23.tyzden.2011;21;4.132857
24.tyzden.2011;23;4.098571
25.tyzden.2011;20;4.205714
26.tyzden.2011;31;4.072857
27.tyzden.2011;19;3.988571
28.tyzden.2011;27;4.202857
29.tyzden.2011;19;4.192857
30.tyzden.2011;15;4.095714
31.tyzden.2011;13;4.142857
32.tyzden.2011;20;4.115714
33.tyzden.2011;31;4.105714
34.tyzden.2011;14;4.230000
35.tyzden.2011;20;4.255714
36.tyzden.2011;28;4.262857
37.tyzden.2011;23;4.471429
38.tyzden.2011;19;4.542857
39.tyzden.2011;19;4.522857
40.tyzden.2011;22;4.535714
41.tyzden.2011;15;4.605714
42.tyzden.2011;25;4.692857
43.tyzden.2011;14;4.544286
44.tyzden.2011;19;4.578571
45.tyzden.2011;20;5.002857
46.tyzden.2011;20;4.824286
47.tyzden.2011;21;4.687143
48.tyzden.2011;28;4.718571
49.tyzden.2011;22;4.928571
50.tyzden.2011;26;4.662857
51.tyzden.2011;27;4.685714
52.tyzden.2011;9;4.596667
1.tyzden.2012;12;4.605000
2.tyzden.2012;21;4.414286
3.tyzden.2012;21;4.585714
4.tyzden.2012;16;4.417143
5.tyzden.2012;11;4.427143
6.tyzden.2012;7;4.241429
7.tyzden.2012;15;4.315714
8.tyzden.2012;18;4.307143
9.tyzden.2012;14;4.400000
10.tyzden.2012;14;4.327143
11.tyzden.2012;9;4.241429
12.tyzden.2012;13;4.280000
13.tyzden.2012;11;4.410000
14.tyzden.2012;11;4.277143
15.tyzden.2012;16;4.214286
16.tyzden.2012;17;4.544286
17.tyzden.2012;17;4.445714
18.tyzden.2012;27;4.288571
19.tyzden.2012;29;4.370000
20.tyzden.2012;12;4.622857
21.tyzden.2012;22;4.455714
22.tyzden.2012;16;4.390000
23.tyzden.2012;20;4.625714
24.tyzden.2012;20;4.582857
25.tyzden.2012;24;4.131429
26.tyzden.2012;14;4.287143
27.tyzden.2012;9;4.534286
28.tyzden.2012;13;4.598571
29.tyzden.2012;12;4.100000
30.tyzden.2012;18;4.312857
31.tyzden.2012;14;4.635714
32.tyzden.2012;22;4.571429
33.tyzden.2012;29;4.110000
34.tyzden.2012;28;4.290000
35.tyzden.2012;14;4.662857
36.tyzden.2012;17;4.617143
37.tyzden.2012;20;4.124286
38.tyzden.2012;22;4.408571
39.tyzden.2012;18;4.858571
40.tyzden.2012;26;4.332857
41.tyzden.2012;22;4.122857
42.tyzden.2012;32;4.764286
43.tyzden.2012;6;4.712857
44.tyzden.2012;23;4.151429
45.tyzden.2012;13;4.180000
46.tyzden.2012;18;4.815714
47.tyzden.2012;22;4.661429
48.tyzden.2012;20;4.221429
49.tyzden.2012;27;4.181429
50.tyzden.2012;17;4.458571
51.tyzden.2012;14;4.404286
52.tyzden.2012;20;4.257500
1.tyzden.2013;17;4.513333
2.tyzden.2013;22;4.755714
3.tyzden.2013;10;4.528571
4.tyzden.2013;21;4.240000
5.tyzden.2013;15;4.222857
6.tyzden.2013;11;4.394286
7.tyzden.2013;11;4.325714
8.tyzden.2013;11;4.214286
9.tyzden.2013;13;4.152857
10.tyzden.2013;12;4.528571
11.tyzden.2013;17;4.528571
12.tyzden.2013;9;4.202857
13.tyzden.2013;16;4.191429
14.tyzden.2013;7;4.624286
15.tyzden.2013;13;4.657143
16.tyzden.2013;14;4.190000
17.tyzden.2013;15;4.301429
18.tyzden.2013;14;4.790000
19.tyzden.2013;16;4.558571
20.tyzden.2013;34;4.624286
21.tyzden.2013;12;4.545714
22.tyzden.2013;11;4.602857
23.tyzden.2013;15;4.387143
24.tyzden.2013;25;4.334286
25.tyzden.2013;14;4.544286
26.tyzden.2013;18;4.444286
27.tyzden.2013;11;4.402857
28.tyzden.2013;21;4.445714
29.tyzden.2013;25;4.562857
30.tyzden.2013;16;4.430000
31.tyzden.2013;25;4.340000
32.tyzden.2013;27;4.364286
33.tyzden.2013;26;4.587143
34.tyzden.2013;12;4.572857
35.tyzden.2013;19;4.352857
36.tyzden.2013;19;4.267143
37.tyzden.2013;19;4.295714
38.tyzden.2013;20;4.272857
39.tyzden.2013;14;4.494286
40.tyzden.2013;9;4.254286
41.tyzden.2013;24;4.458571
42.tyzden.2013;23;4.508571
43.tyzden.2013;19;4.697143
44.tyzden.2013;18;4.520000
45.tyzden.2013;19;4.577143
46.tyzden.2013;20;4.795714
47.tyzden.2013;10;4.760000
48.tyzden.2013;13;4.447143
49.tyzden.2013;20;4.631429
50.tyzden.2013;12;5.058571
51.tyzden.2013;18;4.771429
52.tyzden.2013;20;4.508889
1.tyzden.2014;15;4.888000
2.tyzden.2014;15;5.035714
3.tyzden.2014;11;4.634286
4.tyzden.2014;8;4.754286
5.tyzden.2014;15;4.834286
6.tyzden.2014;21;5.107143
7.tyzden.2014;19;4.714286
8.tyzden.2014;24;4.647143
9.tyzden.2014;11;5.072857
10.tyzden.2014;20;4.968571
11.tyzden.2014;11;4.755714
12.tyzden.2014;13;4.942857
13.tyzden.2014;12;5.050000
14.tyzden.2014;15;4.905714
15.tyzden.2014;23;4.708571
16.tyzden.2014;11;5.078571
17.tyzden.2014;10;4.787143
18.tyzden.2014;14;4.620000
19.tyzden.2014;11;4.711429
20.tyzden.2014;17;4.958571
21.tyzden.2014;19;4.584286
22.tyzden.2014;13;4.408571
23.tyzden.2014;20;4.592857
24.tyzden.2014;16;4.864286
25.tyzden.2014;13;4.464286
26.tyzden.2014;11;4.224286
27.tyzden.2014;16;5.081429
28.tyzden.2014;25;5.061429
29.tyzden.2014;22;4.230000
30.tyzden.2014;17;4.161429
31.tyzden.2014;12;5.025714
32.tyzden.2014;9;4.778571
33.tyzden.2014;16;4.274286
34.tyzden.2014;24;4.495714
35.tyzden.2014;11;4.797143
36.tyzden.2014;17;4.668571
37.tyzden.2014;11;4.788571
38.tyzden.2014;17;4.612857
39.tyzden.2014;17;4.800000
40.tyzden.2014;17;4.895714
41.tyzden.2014;19;4.742857
42.tyzden.2014;16;4.612857
43.tyzden.2014;25;5.015714
44.tyzden.2014;13;4.737143
45.tyzden.2014;19;4.651429
46.tyzden.2014;11;4.814286
47.tyzden.2014;14;5.117143
48.tyzden.2014;21;4.974286
49.tyzden.2014;18;4.794286
50.tyzden.2014;20;4.917143
51.tyzden.2014;18;5.281429
52.tyzden.2014;18;4.746000
1.tyzden.2015;6;4.607500
2.tyzden.2015;6;4.900000
3.tyzden.2015;22;5.015714
4.tyzden.2015;9;4.524286
5.tyzden.2015;24;4.771429
6.tyzden.2015;12;5.134286
7.tyzden.2015;4;5.024286
8.tyzden.2015;6;4.542857
9.tyzden.2015;6;4.671429
tyzden.2015;8;4.860000
11.tyzden.2015;10;4.730000
12.tyzden.2015;14;4.384286
13.tyzden.2015;12;4.927143
tyzden.2015;14;4.884286
15.tyzden.2015;15;4.720000
16.tyzden.2015;9;4.684286
tyzden.2015;11;5.040000
18.tyzden.2015;15;4.601429
19.tyzden.2015;17;4.677143
20.tyzden.2015;21;4.922857
21.tyzden.2015;19;4.688571
22.tyzden.2015;18;4.317143
23.tyzden.2015;33;4.567143
24.tyzden.2015;22;4.864286
25.tyzden.2015;11;4.620000
