Week;Usmrteni;Solar
1.tyzden.2010;9;74.544444
2.tyzden.2010;6;85.228571
3.tyzden.2010;8;80.185714
4.tyzden.2010;5;75.885714
5.tyzden.2010;6;74.842857
6.tyzden.2010;4;90.514286
7.tyzden.2010;9;84.157143
8.tyzden.2010;6;80.571429
9.tyzden.2010;0;77.914286
10.tyzden.2010;2;81.271429
11.tyzden.2010;7;85.071429
12.tyzden.2010;9;84.800000
13.tyzden.2010;5;80.671429
14.tyzden.2010;3;77.100000
15.tyzden.2010;4;75.085714
16.tyzden.2010;4;76.057143
17.tyzden.2010;10;77.485714
18.tyzden.2010;4;81.642857
19.tyzden.2010;5;73.371429
20.tyzden.2010;3;71.228571
21.tyzden.2010;3;75.100000
22.tyzden.2010;5;74.742857
23.tyzden.2010;6;74.142857
24.tyzden.2010;9;73.814286
25.tyzden.2010;3;75.642857
26.tyzden.2010;9;75.742857
27.tyzden.2010;10;77.785714
28.tyzden.2010;10;81.171429
29.tyzden.2010;8;87.342857
30.tyzden.2010;4;86.428571
31.tyzden.2010;3;84.628571
32.tyzden.2010;6;86.385714
33.tyzden.2010;5;82.228571
34.tyzden.2010;19;75.171429
35.tyzden.2010;6;78.000000
36.tyzden.2010;9;78.228571
37.tyzden.2010;5;81.800000
38.tyzden.2010;10;83.885714
39.tyzden.2010;7;86.342857
40.tyzden.2010;5;75.957143
41.tyzden.2010;10;78.742857
42.tyzden.2010;7;84.214286
43.tyzden.2010;12;84.485714
44.tyzden.2010;5;79.900000
45.tyzden.2010;9;83.171429
46.tyzden.2010;11;85.242857
47.tyzden.2010;16;74.371429
48.tyzden.2010;5;82.800000
49.tyzden.2010;8;84.957143
50.tyzden.2010;2;83.128571
51.tyzden.2010;8;76.371429
52.tyzden.2010;1;80.216667
1.tyzden.2011;11;85.544444
2.tyzden.2011;6;78.128571
3.tyzden.2011;9;80.971429
4.tyzden.2011;6;78.700000
5.tyzden.2011;1;78.300000
6.tyzden.2011;12;89.842857
7.tyzden.2011;6;110.071429
8.tyzden.2011;2;88.785714
9.tyzden.2011;11;118.600000
10.tyzden.2011;9;134.142857
11.tyzden.2011;8;95.057143
12.tyzden.2011;6;107.314286
13.tyzden.2011;10;113.500000
14.tyzden.2011;7;110.171429
15.tyzden.2011;6;117.200000
16.tyzden.2011;10;115.842857
17.tyzden.2011;10;110.785714
18.tyzden.2011;6;106.800000
19.tyzden.2011;2;97.042857
20.tyzden.2011;14;89.285714
21.tyzden.2011;10;92.385714
22.tyzden.2011;11;111.957143
23.tyzden.2011;9;92.785714
24.tyzden.2011;6;102.242857
25.tyzden.2011;9;97.500000
26.tyzden.2011;7;90.385714
27.tyzden.2011;10;88.914286
28.tyzden.2011;17;97.642857
29.tyzden.2011;10;98.114286
30.tyzden.2011;6;107.571429
31.tyzden.2011;5;118.742857
32.tyzden.2011;6;92.157143
33.tyzden.2011;10;99.300000
34.tyzden.2011;11;106.500000
35.tyzden.2011;4;113.000000
36.tyzden.2011;6;116.314286
37.tyzden.2011;10;140.785714
38.tyzden.2011;16;157.942857
39.tyzden.2011;6;138.057143
40.tyzden.2011;12;124.414286
41.tyzden.2011;11;135.500000
42.tyzden.2011;15;154.842857
43.tyzden.2011;16;131.442857
44.tyzden.2011;6;155.042857
45.tyzden.2011;5;170.900000
46.tyzden.2011;12;142.914286
47.tyzden.2011;4;134.228571
48.tyzden.2011;11;147.171429
49.tyzden.2011;8;141.471429
50.tyzden.2011;10;123.000000
51.tyzden.2011;14;135.642857
52.tyzden.2011;9;137.283333
1.tyzden.2012;11;130.872917
2.tyzden.2012;5;124.071429
3.tyzden.2012;8;139.357143
4.tyzden.2012;6;124.728571
5.tyzden.2012;3;109.214286
6.tyzden.2012;0;104.185714
7.tyzden.2012;3;102.742857
8.tyzden.2012;16;104.342857
9.tyzden.2012;2;106.514286
10.tyzden.2012;3;136.657143
11.tyzden.2012;9;111.357143
12.tyzden.2012;9;101.100000
13.tyzden.2012;3;107.485714
14.tyzden.2012;1;100.342857
15.tyzden.2012;4;96.814286
16.tyzden.2012;10;132.628571
17.tyzden.2012;8;126.871429
18.tyzden.2012;7;116.314286
19.tyzden.2012;9;130.971429
20.tyzden.2012;2;134.514286
21.tyzden.2012;14;119.728571
22.tyzden.2012;17;122.228571
23.tyzden.2012;5;136.528571
24.tyzden.2012;9;142.985714
25.tyzden.2012;11;101.385714
26.tyzden.2012;13;116.428571
27.tyzden.2012;11;167.314286
28.tyzden.2012;9;163.828571
29.tyzden.2012;6;113.185714
30.tyzden.2012;13;117.928571
31.tyzden.2012;1;143.100000
32.tyzden.2012;2;129.842857
33.tyzden.2012;13;102.685714
34.tyzden.2012;12;102.957143
35.tyzden.2012;4;129.100000
36.tyzden.2012;11;134.214286
37.tyzden.2012;7;103.128571
38.tyzden.2012;13;116.357143
39.tyzden.2012;12;137.471429
40.tyzden.2012;14;110.085714
41.tyzden.2012;6;116.257143
42.tyzden.2012;11;139.400000
43.tyzden.2012;7;131.614286
44.tyzden.2012;6;98.757143
45.tyzden.2012;3;108.157143
46.tyzden.2012;9;138.128571
47.tyzden.2012;8;126.700000
48.tyzden.2012;8;107.857143
49.tyzden.2012;6;95.357143
50.tyzden.2012;7;110.371429
51.tyzden.2012;16;110.985714
52.tyzden.2012;8;105.537500
1.tyzden.2013;5;128.283333
2.tyzden.2013;3;158.342857
3.tyzden.2013;2;121.957143
4.tyzden.2013;6;100.300000
5.tyzden.2013;4;99.714286
6.tyzden.2013;4;102.285714
7.tyzden.2013;3;99.728571
8.tyzden.2013;1;103.514286
9.tyzden.2013;10;103.385714
10.tyzden.2013;6;114.185714
11.tyzden.2013;3;121.971429
12.tyzden.2013;8;104.471429
13.tyzden.2013;6;100.171429
14.tyzden.2013;1;129.528571
15.tyzden.2013;5;136.414286
16.tyzden.2013;4;108.271429
17.tyzden.2013;2;122.214286
18.tyzden.2013;6;149.814286
19.tyzden.2013;2;134.485714
20.tyzden.2013;3;144.957143
21.tyzden.2013;3;130.928571
22.tyzden.2013;1;109.285714
23.tyzden.2013;1;110.128571
24.tyzden.2013;7;104.785714
25.tyzden.2013;5;131.242857
26.tyzden.2013;7;109.242857
27.tyzden.2013;7;130.657143
28.tyzden.2013;9;120.342857
29.tyzden.2013;12;116.471429
30.tyzden.2013;4;111.671429
31.tyzden.2013;16;113.442857
32.tyzden.2013;10;107.871429
33.tyzden.2013;10;128.871429
34.tyzden.2013;5;127.942857
35.tyzden.2013;3;110.185714
36.tyzden.2013;7;105.485714
37.tyzden.2013;8;94.300000
38.tyzden.2013;12;106.042857
39.tyzden.2013;5;108.471429
40.tyzden.2013;6;108.000000
41.tyzden.2013;10;120.185714
42.tyzden.2013;6;130.528571
43.tyzden.2013;14;154.757143
44.tyzden.2013;3;144.785714
45.tyzden.2013;6;146.642857
46.tyzden.2013;9;168.757143
47.tyzden.2013;4;140.771429
48.tyzden.2013;10;123.257143
49.tyzden.2013;12;142.885714
50.tyzden.2013;9;160.971429
51.tyzden.2013;11;145.742857
52.tyzden.2013;8;129.177778
1.tyzden.2014;6;189.880000
2.tyzden.2014;11;181.871429
3.tyzden.2014;12;126.300000
4.tyzden.2014;7;134.214286
5.tyzden.2014;8;159.514286
6.tyzden.2014;7;177.871429
7.tyzden.2014;14;159.142857
8.tyzden.2014;5;155.042857
9.tyzden.2014;2;167.471429
10.tyzden.2014;2;148.028571
11.tyzden.2014;7;145.357143
12.tyzden.2014;10;147.328571
13.tyzden.2014;2;148.957143
14.tyzden.2014;3;150.471429
15.tyzden.2014;3;136.214286
16.tyzden.2014;3;169.757143
17.tyzden.2014;16;134.857143
18.tyzden.2014;3;129.085714
19.tyzden.2014;3;151.457143
20.tyzden.2014;6;151.428571
21.tyzden.2014;7;119.071429
22.tyzden.2014;6;106.371429
23.tyzden.2014;17;124.500000
24.tyzden.2014;6;161.528571
25.tyzden.2014;3;110.700000
26.tyzden.2014;7;107.371429
27.tyzden.2014;4;180.328571
28.tyzden.2014;6;179.085714
29.tyzden.2014;7;96.242857
30.tyzden.2014;3;107.614286
31.tyzden.2014;2;155.814286
32.tyzden.2014;13;131.585714
33.tyzden.2014;7;110.542857
34.tyzden.2014;17;126.742857
35.tyzden.2014;7;129.571429
36.tyzden.2014;11;146.400000
37.tyzden.2014;6;157.171429
38.tyzden.2014;8;127.400000
39.tyzden.2014;8;160.614286
40.tyzden.2014;5;147.971429
41.tyzden.2014;6;120.271429
42.tyzden.2014;3;142.157143
43.tyzden.2014;6;212.071429
44.tyzden.2014;5;142.471429
45.tyzden.2014;2;132.571429
46.tyzden.2014;12;150.771429
47.tyzden.2014;4;163.885714
48.tyzden.2014;10;166.828571
49.tyzden.2014;5;144.985714
50.tyzden.2014;5;145.428571
51.tyzden.2014;4;192.328571
52.tyzden.2014;11;139.370000
1.tyzden.2015;3;140.625000
2.tyzden.2015;3;144.357143
3.tyzden.2015;12;132.085714
4.tyzden.2015;9;120.785714
5.tyzden.2015;7;151.171429
6.tyzden.2015;1;144.271429
7.tyzden.2015;3;126.742857
8.tyzden.2015;5;115.828571
9.tyzden.2015;3;115.200000
tyzden.2015;5;127.771429
11.tyzden.2015;10;120.100000
12.tyzden.2015;9;113.885714
13.tyzden.2015;6;136.885714
tyzden.2015;2;124.385714
15.tyzden.2015;5;118.385714
16.tyzden.2015;4;149.928571
tyzden.2015;6;140.500000
18.tyzden.2015;12;106.928571
19.tyzden.2015;3;145.200000
20.tyzden.2015;3;148.142857
21.tyzden.2015;6;106.571429
22.tyzden.2015;6;96.971429
23.tyzden.2015;16;121.114286
24.tyzden.2015;1;139.942857
25.tyzden.2015;11;141.871429
26.tyzden.2015;10;128.400000
