"Year";"Correlation";"parameter"
"all";0.0685527208454394;"R sunspot number"
"all";0.0650171310225175;"Solar wind temperature"
"all";-0.0616344902844299;"Solar wind density"
"all";0.0587568429780913;"Solar index_F10.7"
"all";0.0581456973407093;"Ap index"
"all";0.0480944616856184;"Solar wind speed"
"all";0.0409006727062229;"Lyman alpha solar index"
"all";0.0308283571135364;"Kp index"
"all";-0.0131801388481888;"Proton flux over 10 MeV"
"all";-0.0109999061755555;"Proton flux over 30 MeV"
"all";-0.0105427238904985;"Proton flux over 60 MeV"
"all";0.00580184766915359;"Dst index"
