Week;Usmrteni;
1.tyzden.2010;9;
2.tyzden.2010;6;
3.tyzden.2010;8;
4.tyzden.2010;5;
5.tyzden.2010;6;
6.tyzden.2010;4;
7.tyzden.2010;9;
8.tyzden.2010;6;
9.tyzden.2010;0;
10.tyzden.2010;2;
11.tyzden.2010;7;
12.tyzden.2010;9;
13.tyzden.2010;5;
14.tyzden.2010;3;
15.tyzden.2010;4;
16.tyzden.2010;4;
17.tyzden.2010;10;
18.tyzden.2010;4;
19.tyzden.2010;5;
20.tyzden.2010;3;
21.tyzden.2010;3;
22.tyzden.2010;5;
23.tyzden.2010;6;
24.tyzden.2010;9;
25.tyzden.2010;3;
26.tyzden.2010;9;
27.tyzden.2010;10;
28.tyzden.2010;10;
29.tyzden.2010;8;
30.tyzden.2010;4;
31.tyzden.2010;3;
32.tyzden.2010;6;
33.tyzden.2010;5;
34.tyzden.2010;19;
35.tyzden.2010;6;
36.tyzden.2010;9;
37.tyzden.2010;5;
38.tyzden.2010;10;
39.tyzden.2010;7;
40.tyzden.2010;5;
41.tyzden.2010;10;
42.tyzden.2010;7;
43.tyzden.2010;12;
44.tyzden.2010;5;
45.tyzden.2010;9;
46.tyzden.2010;11;
47.tyzden.2010;16;
48.tyzden.2010;5;
49.tyzden.2010;8;
50.tyzden.2010;2;
51.tyzden.2010;8;
52.tyzden.2010;1;
