Week;Zraneni;
1.tyzden.2013;17;
2.tyzden.2013;22;
3.tyzden.2013;10;
4.tyzden.2013;21;
5.tyzden.2013;15;
6.tyzden.2013;11;
7.tyzden.2013;11;
8.tyzden.2013;11;
9.tyzden.2013;13;
10.tyzden.2013;12;
11.tyzden.2013;17;
12.tyzden.2013;9;
13.tyzden.2013;16;
14.tyzden.2013;7;
15.tyzden.2013;13;
16.tyzden.2013;14;
17.tyzden.2013;15;
18.tyzden.2013;14;
19.tyzden.2013;16;
20.tyzden.2013;34;
21.tyzden.2013;12;
22.tyzden.2013;11;
23.tyzden.2013;15;
24.tyzden.2013;25;
25.tyzden.2013;14;
26.tyzden.2013;18;
27.tyzden.2013;11;
28.tyzden.2013;21;
29.tyzden.2013;25;
30.tyzden.2013;16;
31.tyzden.2013;25;
32.tyzden.2013;27;
33.tyzden.2013;26;
34.tyzden.2013;12;
35.tyzden.2013;19;
36.tyzden.2013;19;
37.tyzden.2013;19;
38.tyzden.2013;20;
39.tyzden.2013;14;
40.tyzden.2013;9;
41.tyzden.2013;24;
42.tyzden.2013;23;
43.tyzden.2013;19;
44.tyzden.2013;18;
45.tyzden.2013;19;
46.tyzden.2013;20;
47.tyzden.2013;10;
48.tyzden.2013;13;
49.tyzden.2013;20;
50.tyzden.2013;12;
51.tyzden.2013;18;
52.tyzden.2013;20;
