Week;Nehodovost;
1.tyzden.2017;216;
2.tyzden.2017;252;
3.tyzden.2017;210;
4.tyzden.2017;188;
5.tyzden.2017;242;
6.tyzden.2017;218;
7.tyzden.2017;240;
8.tyzden.2017;203;
9.tyzden.2017;228;
10.tyzden.2017;185;
11.tyzden.2017;217;
12.tyzden.2017;223;
13.tyzden.2017;279;
14.tyzden.2017;226;
15.tyzden.2017;257;
16.tyzden.2017;208;
17.tyzden.2017;244;
18.tyzden.2017;267;
19.tyzden.2017;258;
20.tyzden.2017;276;
21.tyzden.2017;305;
22.tyzden.2017;294;
23.tyzden.2017;266;
24.tyzden.2017;263;
25.tyzden.2017;274;
26.tyzden.2017;343;
27.tyzden.2017;272;
28.tyzden.2017;295;
29.tyzden.2017;287;
30.tyzden.2017;272;
31.tyzden.2017;307;
32.tyzden.2017;268;
33.tyzden.2017;270;
34.tyzden.2017;257;
35.tyzden.2017;261;
36.tyzden.2017;236;
37.tyzden.2017;316;
38.tyzden.2017;273;
39.tyzden.2017;270;
40.tyzden.2017;265;
41.tyzden.2017;261;
42.tyzden.2017;291;
43.tyzden.2017;311;
44.tyzden.2017;218;
45.tyzden.2017;279;
46.tyzden.2017;271;
47.tyzden.2017;322;
48.tyzden.2017;303;
49.tyzden.2017;339;
50.tyzden.2017;297;
51.tyzden.2017;311;
52.tyzden.2017;211;
