Date;AE;
1.1.-4.1.2015;231.916667;
5.1.-11.1.2015;188.976191;
12.1.-18.1.2015;111.000000;
19.1.-25.1.2015;116.958333;
26.1.-1.2.2015;193.958333;
2.2.-8.2.2015;202.511905;
9.2.-15.2.2015;85.625000;
16.2.-22.2.2015;172.666667;
23.2.-1.3.2015;204.458333;
2.3.-8.3.2015;225.011905;
9.3.-15.3.2015;117.791667;
16.3.-22.3.2015;345.970238;
23.3.-29.3.2015;192.166666;
30.3.-5.4.2015;129.077381;
6.4.-12.4.2015;183.541667;
13.4.-19.4.2015;314.345238;
20.4.-26.4.2015;145.482143;
27.4.-3.5.2015;135.238095;
4.5.-10.5.2015;166.886905;
11.5.-17.5.2015;324.035714;
18.5.-24.5.2015;120.839286;
25.5.-31.5.2015;108.708333;
1.6.-7.6.2015;91.053571;
8.6.-14.6.2015;308.678571;
15.6.-21.6.2015;215.321428;
22.6.-28.6.2015;366.178571;
29.6.-5.7.2015;151.779762;
6.7.-12.7.2015;206.351190;
13.7.-19.7.2015;206.833333;
20.7.-26.7.2015;198.238095;
27.7.-2.8.2015;214.279762;
3.8.-9.8.2015;240.607143;
10.8.-16.8.2015;309.101190;
17.8.-23.8.2015;305.226190;
24.8.-30.8.2015;402.410714;
31.8.-6.9.2015;202.553572;
7.9.-13.9.2015;429.083333;
14.9.-20.9.2015;293.773810;
21.9.-27.9.2015;120.071428;
28.9.-4.10.2015;236.523810;
5.10.-11.10.2015;447.184524;
12.10.-18.10.2015;300.470238;
19.10.-25.10.2015;123.839286;
26.10.-1.11.2015;109.636905;
2.11.-8.11.2015;326.571429;
9.11.-15.11.2015;305.690476;
16.11.-22.11.2015;147.684524;
23.11.-29.11.2015;78.982143;
30.11.-6.12.2015;225.660714;
7.12.-13.12.2015;232.934524;
14.12.-20.12.2015;238.666667;
21.12.-31.12.2015;186.359849;
