Date;AL;
1.1.-8.1.2012;-61.984375;
9.1.-15.1.2012;-43.863095;
16.1.-22.1.2012;-74.744048;
23.1.-29.1.2012;-129.488095;
30.1.-5.2.2012;-71.398809;
6.2.-12.2.2012;-83.827381;
13.2.-19.2.2012;-131.928572;
20.2.-26.2.2012;-97.839286;
27.2.-4.3.2012;-153.607143;
5.3.-11.3.2012;-258.559524;
12.3.-18.3.2012;-240.244048;
19.3.-25.3.2012;-75.452381;
26.3.-1.4.2012;-100.553571;
2.4.-8.4.2012;-114.154762;
9.4.-15.4.2012;-108.065476;
16.4.-22.4.2012;-99.065476;
23.4.-29.4.2012;-189.535714;
30.4.-6.5.2012;-50.065476;
7.5.-13.5.2012;-164.488095;
14.5.-20.5.2012;-86.571429;
21.5.-27.5.2012;-107.779762;
28.5.-3.6.2012;-85.166667;
4.6.-10.6.2012;-148.488095;
11.6.-17.6.2012;-140.232143;
18.6.-24.6.2012;-73.904762;
25.6.-1.7.2012;-125.708333;
2.7.-8.7.2012;-115.976191;
9.7.-15.7.2012;-260.095238;
16.7.-22.7.2012;-172.166667;
23.7.-29.7.2012;-83.952381;
30.7.-5.8.2012;-108.440476;
6.8.-12.8.2012;-89.458333;
13.8.-19.8.2012;-122.892857;
20.8.-26.8.2012;-133.851190;
27.8.-2.9.2012;-80.922619;
3.9.-9.9.2012;-178.083333;
10.9.-16.9.2012;-46.309524;
17.9.-23.9.2012;-86.738095;
24.9.-30.9.2012;-46.595238;
1.10.-7.10.2012;-90.750000;
8.10.-14.10.2012;-262.922619;
15.10.-21.10.2012;-50.654762;
22.10.-28.10.2012;-56.785714;
29.10.-4.11.2012;-83.315476;
5.11.-11.11.2012;-52.976190;
12.11.-18.11.2012;-127.821428;
19.11.-25.11.2012;-112.089286;
26.11.-2.12.2012;-40.547619;
3.12.-9.12.2012;-21.297619;
10.12.-16.12.2012;-60.273810;
17.12.-23.12.2012;-79.005952;
24.12.-31.12.2012;-29.270833;
