Date;AU;
1.1.-4.1.2015;81.718750;
5.1.-11.1.2015;62.666667;
12.1.-18.1.2015;44.440476;
19.1.-25.1.2015;55.654762;
26.1.-1.2.2015;85.488095;
2.2.-8.2.2015;70.952381;
9.2.-15.2.2015;36.750000;
16.2.-22.2.2015;79.916667;
23.2.-1.3.2015;79.386905;
2.3.-8.3.2015;79.952381;
9.3.-15.3.2015;47.446428;
16.3.-22.3.2015;100.351190;
23.3.-29.3.2015;80.160714;
30.3.-5.4.2015;50.851191;
6.4.-12.4.2015;70.958333;
13.4.-19.4.2015;114.464286;
20.4.-26.4.2015;60.297619;
27.4.-3.5.2015;64.708333;
4.5.-10.5.2015;72.892857;
11.5.-17.5.2015;130.148810;
18.5.-24.5.2015;55.982143;
25.5.-31.5.2015;54.827381;
1.6.-7.6.2015;45.238095;
8.6.-14.6.2015;130.101191;
15.6.-21.6.2015;95.422619;
22.6.-28.6.2015;148.261905;
29.6.-5.7.2015;65.666666;
6.7.-12.7.2015;90.779762;
13.7.-19.7.2015;87.857143;
20.7.-26.7.2015;83.214286;
27.7.-2.8.2015;91.196429;
3.8.-9.8.2015;112.904762;
10.8.-16.8.2015;122.273810;
17.8.-23.8.2015;111.113095;
24.8.-30.8.2015;159.488095;
31.8.-6.9.2015;79.970238;
7.9.-13.9.2015;131.142857;
14.9.-20.9.2015;93.059524;
21.9.-27.9.2015;45.011905;
28.9.-4.10.2015;82.732143;
5.10.-11.10.2015;111.660714;
12.10.-18.10.2015;88.839286;
19.10.-25.10.2015;47.047619;
26.10.-1.11.2015;39.642857;
2.11.-8.11.2015;79.761905;
9.11.-15.11.2015;74.517857;
16.11.-22.11.2015;50.351190;
23.11.-29.11.2015;32.273809;
30.11.-6.12.2015;67.839286;
7.12.-13.12.2015;70.773810;
14.12.-20.12.2015;68.208333;
21.12.-31.12.2015;64.871212;
