Date;Ap;
1.1.-8.1.2012;5.078125;
9.1.-15.1.2012;5.303571;
16.1.-22.1.2012;7.928571;
23.1.-29.1.2012;10.214286;
30.1.-5.2.2012;6.321429;
6.2.-12.2.2012;7.321429;
13.2.-19.2.2012;10.500000;
20.2.-26.2.2012;8.410714;
27.2.-4.3.2012;12.160714;
5.3.-11.3.2012;29.642857;
12.3.-18.3.2012;21.642857;
19.3.-25.3.2012;6.642857;
26.3.-1.4.2012;7.410714;
2.4.-8.4.2012;7.571429;
9.4.-15.4.2012;9.178571;
16.4.-22.4.2012;7.160714;
23.4.-29.4.2012;18.214286;
30.4.-6.5.2012;3.625000;
7.5.-13.5.2012;10.928571;
14.5.-20.5.2012;6.053571;
21.5.-27.5.2012;8.107143;
28.5.-3.6.2012;8.803571;
4.6.-10.6.2012;10.678571;
11.6.-17.6.2012;14.267857;
18.6.-24.6.2012;4.892857;
25.6.-1.7.2012;10.482143;
2.7.-8.7.2012;12.125000;
9.7.-15.7.2012;24.928571;
16.7.-22.7.2012;13.178571;
23.7.-29.7.2012;6.196429;
30.7.-5.8.2012;8.089286;
6.8.-12.8.2012;6.196429;
13.8.-19.8.2012;8.553571;
20.8.-26.8.2012;8.267857;
27.8.-2.9.2012;5.285714;
3.9.-9.9.2012;15.892857;
10.9.-16.9.2012;4.750000;
17.9.-23.9.2012;6.660714;
24.9.-30.9.2012;4.232143;
1.10.-7.10.2012;8.303571;
8.10.-14.10.2012;26.321429;
15.10.-21.10.2012;4.732143;
22.10.-28.10.2012;3.589286;
29.10.-4.11.2012;5.625000;
5.11.-11.11.2012;4.000000;
12.11.-18.11.2012;12.053571;
19.11.-25.11.2012;8.000000;
26.11.-2.12.2012;3.571429;
3.12.-9.12.2012;2.089286;
10.12.-16.12.2012;3.750000;
17.12.-23.12.2012;5.160714;
24.12.-31.12.2012;2.203125;
