Date;Dst;
1.1.-6.1.2013;7.041667;
7.1.-13.1.2013;5.291667;
14.1.-20.1.2013;-9.345238;
21.1.-27.1.2013;-7.125000;
28.1.-3.2.2013;-3.345238;
4.2.-10.2.2013;-2.851191;
11.2.-17.2.2013;-9.440476;
18.2.-24.2.2013;-13.630953;
25.2.-3.3.2013;-9.744047;
4.3.-10.3.2013;-1.333333;
11.3.-17.3.2013;-7.089286;
18.3.-24.3.2013;-29.476190;
25.3.-31.3.2013;-20.714286;
1.4.-7.4.2013;-12.273810;
8.4.-14.4.2013;1.547619;
15.4.-21.4.2013;0.904762;
22.4.-28.4.2013;-9.494048;
29.4.-5.5.2013;-20.142857;
6.5.-12.5.2013;-0.482143;
13.5.-19.5.2013;-12.107143;
20.5.-26.5.2013;-17.136905;
27.5.-2.6.2013;-27.351190;
3.6.-9.6.2013;-23.434524;
10.6.-16.6.2013;-6.880952;
17.6.-23.6.2013;-12.279762;
24.6.-30.6.2013;-33.142857;
1.7.-7.7.2013;-23.291667;
8.7.-14.7.2013;-24.654762;
15.7.-21.7.2013;-14.029762;
22.7.-28.7.2013;-5.845238;
29.7.-4.8.2013;-1.952381;
5.8.-11.8.2013;-10.535714;
12.8.-18.8.2013;-12.148809;
19.8.-25.8.2013;-14.339286;
26.8.-1.9.2013;-18.047619;
2.9.-8.9.2013;-5.452381;
9.9.-15.9.2013;-1.017857;
16.9.-22.9.2013;-3.238095;
23.9.-29.9.2013;-0.434524;
30.9.-6.10.2013;-14.363095;
7.10.-13.10.2013;-15.595238;
14.10.-20.10.2013;-15.398809;
21.10.-27.10.2013;3.476191;
28.10.-3.11.2013;-10.392857;
4.11.-10.11.2013;-17.351190;
11.11.-17.11.2013;-19.333333;
18.11.-24.11.2013;-4.613095;
25.11.-1.12.2013;1.613095;
2.12.-8.12.2013;-9.553572;
9.12.-15.12.2013;-8.321428;
16.12.-22.12.2013;-6.916667;
23.12.-31.12.2013;1.574074;
