Date;Kp;
1.1.-6.1.2013;5.979167;
7.1.-13.1.2013;10.571429;
14.1.-20.1.2013;20.071429;
21.1.-27.1.2013;12.589286;
28.1.-3.2.2013;10.250000;
4.2.-10.2.2013;10.660714;
11.2.-17.2.2013;17.446429;
18.2.-24.2.2013;15.660714;
25.2.-3.3.2013;20.053571;
4.3.-10.3.2013;8.500000;
11.3.-17.3.2013;18.607143;
18.3.-24.3.2013;16.857143;
25.3.-31.3.2013;20.517857;
1.4.-7.4.2013;9.410714;
8.4.-14.4.2013;11.892857;
15.4.-21.4.2013;5.714286;
22.4.-28.4.2013;20.535714;
29.4.-5.5.2013;18.321429;
6.5.-12.5.2013;12.464286;
13.5.-19.5.2013;21.428571;
20.5.-26.5.2013;25.482143;
27.5.-2.6.2013;20.964286;
3.6.-9.6.2013;22.339286;
10.6.-16.6.2013;9.714286;
17.6.-23.6.2013;20.125000;
24.6.-30.6.2013;24.821429;
1.7.-7.7.2013;15.482143;
8.7.-14.7.2013;25.250000;
15.7.-21.7.2013;18.500000;
22.7.-28.7.2013;16.142857;
29.7.-4.8.2013;11.875000;
5.8.-11.8.2013;13.660714;
12.8.-18.8.2013;21.071429;
19.8.-25.8.2013;19.607143;
26.8.-1.9.2013;17.642857;
2.9.-8.9.2013;12.357143;
9.9.-15.9.2013;12.660714;
16.9.-22.9.2013;17.428571;
23.9.-29.9.2013;6.839286;
30.9.-6.10.2013;11.160714;
7.10.-13.10.2013;16.250000;
14.10.-20.10.2013;16.035714;
21.10.-27.10.2013;5.285714;
28.10.-3.11.2013;13.089286;
4.11.-10.11.2013;17.767857;
11.11.-17.11.2013;15.410714;
18.11.-24.11.2013;6.035714;
25.11.-1.12.2013;8.839286;
2.12.-8.12.2013;13.428571;
9.12.-15.12.2013;10.535714;
16.12.-22.12.2013;8.875000;
23.12.-31.12.2013;6.472222;
