Date;Lyman;
1.1.-6.1.2013;4.513333;
7.1.-13.1.2013;4.755714;
14.1.-20.1.2013;4.528571;
21.1.-27.1.2013;4.240000;
28.1.-3.2.2013;4.222857;
4.2.-10.2.2013;4.394286;
11.2.-17.2.2013;4.325714;
18.2.-24.2.2013;4.214286;
25.2.-3.3.2013;4.152857;
4.3.-10.3.2013;4.528571;
11.3.-17.3.2013;4.528571;
18.3.-24.3.2013;4.202857;
25.3.-31.3.2013;4.191429;
1.4.-7.4.2013;4.624286;
8.4.-14.4.2013;4.657143;
15.4.-21.4.2013;4.190000;
22.4.-28.4.2013;4.301429;
29.4.-5.5.2013;4.790000;
6.5.-12.5.2013;4.558571;
13.5.-19.5.2013;4.624286;
20.5.-26.5.2013;4.545714;
27.5.-2.6.2013;4.602857;
3.6.-9.6.2013;4.387143;
10.6.-16.6.2013;4.334286;
17.6.-23.6.2013;4.544286;
24.6.-30.6.2013;4.444286;
1.7.-7.7.2013;4.402857;
8.7.-14.7.2013;4.445714;
15.7.-21.7.2013;4.562857;
22.7.-28.7.2013;4.430000;
29.7.-4.8.2013;4.340000;
5.8.-11.8.2013;4.364286;
12.8.-18.8.2013;4.587143;
19.8.-25.8.2013;4.572857;
26.8.-1.9.2013;4.352857;
2.9.-8.9.2013;4.267143;
9.9.-15.9.2013;4.295714;
16.9.-22.9.2013;4.272857;
23.9.-29.9.2013;4.494286;
30.9.-6.10.2013;4.254286;
7.10.-13.10.2013;4.458571;
14.10.-20.10.2013;4.508571;
21.10.-27.10.2013;4.697143;
28.10.-3.11.2013;4.520000;
4.11.-10.11.2013;4.577143;
11.11.-17.11.2013;4.795714;
18.11.-24.11.2013;4.760000;
25.11.-1.12.2013;4.447143;
2.12.-8.12.2013;4.631429;
9.12.-15.12.2013;5.058571;
16.12.-22.12.2013;4.771429;
23.12.-31.12.2013;4.508889;
