Date;Proton30;
1.1.-4.1.2015;0.070104;
5.1.-11.1.2015;0.073334;
12.1.-18.1.2015;0.073690;
19.1.-25.1.2015;0.071190;
26.1.-1.2.2015;0.079048;
2.2.-8.2.2015;0.071071;
9.2.-15.2.2015;0.074286;
16.2.-22.2.2015;0.078750;
23.2.-1.3.2015;0.075536;
2.3.-8.3.2015;0.104940;
9.3.-15.3.2015;0.079762;
16.3.-22.3.2015;0.072857;
23.3.-29.3.2015;0.074703;
30.3.-5.4.2015;0.068691;
6.4.-12.4.2015;0.068571;
13.4.-19.4.2015;0.067679;
20.4.-26.4.2015;0.086786;
27.4.-3.5.2015;0.070893;
4.5.-10.5.2015;0.074167;
11.5.-17.5.2015;0.115476;
18.5.-24.5.2015;0.069584;
25.5.-31.5.2015;0.073810;
1.6.-7.6.2015;0.072798;
8.6.-14.6.2015;0.074167;
15.6.-21.6.2015;0.157143;
22.6.-28.6.2015;0.480476;
29.6.-5.7.2015;0.094464;
6.7.-12.7.2015;0.072738;
13.7.-19.7.2015;0.072262;
20.7.-26.7.2015;0.073988;
27.7.-2.8.2015;0.074643;
3.8.-9.8.2015;0.074464;
10.8.-16.8.2015;0.072143;
17.8.-23.8.2015;0.076250;
24.8.-30.8.2015;0.075059;
31.8.-6.9.2015;0.075238;
7.9.-13.9.2015;0.071905;
14.9.-20.9.2015;0.079821;
21.9.-27.9.2015;0.079047;
28.9.-4.10.2015;0.078750;
5.10.-11.10.2015;0.074286;
12.10.-18.10.2015;0.074405;
19.10.-25.10.2015;0.076309;
26.10.-1.11.2015;0.547619;
2.11.-8.11.2015;0.075298;
9.11.-15.11.2015;0.095000;
16.11.-22.11.2015;0.077857;
23.11.-29.11.2015;0.082202;
30.11.-6.12.2015;0.079405;
7.12.-13.12.2015;0.074643;
14.12.-20.12.2015;0.078810;
21.12.-31.12.2015;0.087121;
