Date;Sunspot;
1.1.-6.1.2013;132.666667;
7.1.-13.1.2013;150.571429;
14.1.-20.1.2013;74.142857;
21.1.-27.1.2013;56.285714;
28.1.-3.2.2013;61.571429;
4.2.-10.2.2013;50.428571;
11.2.-17.2.2013;50.000000;
18.2.-24.2.2013;79.285714;
25.2.-3.3.2013;71.000000;
4.3.-10.3.2013;81.142857;
11.3.-17.3.2013;112.714286;
18.3.-24.3.2013;58.857143;
25.3.-31.3.2013;56.285714;
1.4.-7.4.2013;103.428571;
8.4.-14.4.2013;125.000000;
15.4.-21.4.2013;90.857143;
22.4.-28.4.2013;99.142857;
29.4.-5.5.2013;123.857143;
6.5.-12.5.2013;123.285714;
13.5.-19.5.2013;162.142857;
20.5.-26.5.2013;112.285714;
27.5.-2.6.2013;71.714286;
3.6.-9.6.2013;54.142857;
10.6.-16.6.2013;55.000000;
17.6.-23.6.2013;124.285714;
24.6.-30.6.2013;75.714286;
1.7.-7.7.2013;113.285714;
8.7.-14.7.2013;80.000000;
15.7.-21.7.2013;74.142857;
22.7.-28.7.2013;72.000000;
29.7.-4.8.2013;99.714286;
5.8.-11.8.2013;77.857143;
12.8.-18.8.2013;105.142857;
19.8.-25.8.2013;116.285714;
26.8.-1.9.2013;60.142857;
2.9.-8.9.2013;59.428571;
9.9.-15.9.2013;31.142857;
16.9.-22.9.2013;64.142857;
23.9.-29.9.2013;60.571429;
30.9.-6.10.2013;58.857143;
7.10.-13.10.2013;108.714286;
14.10.-20.10.2013;131.428571;
21.10.-27.10.2013;133.142857;
28.10.-3.11.2013;129.000000;
4.11.-10.11.2013;129.714286;
11.11.-17.11.2013;159.142857;
18.11.-24.11.2013;87.857143;
25.11.-1.12.2013;81.857143;
2.12.-8.12.2013;108.285714;
9.12.-15.12.2013;152.857143;
16.12.-22.12.2013;130.285714;
23.12.-31.12.2013;109.444444;
