Date;Solar;
1.1.-4.1.2015;140.625000;
5.1.-11.1.2015;144.357143;
12.1.-18.1.2015;132.085714;
19.1.-25.1.2015;120.785714;
26.1.-1.2.2015;151.171429;
2.2.-8.2.2015;144.271429;
9.2.-15.2.2015;126.742857;
16.2.-22.2.2015;115.828571;
23.2.-1.3.2015;115.200000;
2.3.-8.3.2015;127.771429;
9.3.-15.3.2015;120.100000;
16.3.-22.3.2015;113.885714;
23.3.-29.3.2015;136.885714;
30.3.-5.4.2015;124.385714;
6.4.-12.4.2015;118.385714;
13.4.-19.4.2015;149.928571;
20.4.-26.4.2015;140.500000;
27.4.-3.5.2015;106.928571;
4.5.-10.5.2015;145.200000;
11.5.-17.5.2015;148.142857;
18.5.-24.5.2015;106.571429;
25.5.-31.5.2015;96.971429;
1.6.-7.6.2015;121.114286;
8.6.-14.6.2015;139.942857;
15.6.-21.6.2015;141.871429;
22.6.-28.6.2015;128.400000;
29.6.-5.7.2015;114.471429;
6.7.-12.7.2015;130.242857;
13.7.-19.7.2015;104.585714;
20.7.-26.7.2015;95.228571;
27.7.-2.8.2015;104.371429;
3.8.-9.8.2015;118.100000;
10.8.-16.8.2015;98.442857;
17.8.-23.8.2015;109.014286;
24.8.-30.8.2015;114.671429;
31.8.-6.9.2015;89.485714;
7.9.-13.9.2015;90.328571;
14.9.-20.9.2015;105.742857;
21.9.-27.9.2015;114.314286;
28.9.-4.10.2015;114.071429;
5.10.-11.10.2015;81.471429;
12.10.-18.10.2015;104.714286;
19.10.-25.10.2015;116.514286;
26.10.-1.11.2015;113.471429;
2.11.-8.11.2015;113.457143;
9.11.-15.11.2015;103.085714;
16.11.-22.11.2015;109.428571;
23.11.-29.11.2015;102.514286;
30.11.-6.12.2015;94.442857;
7.12.-13.12.2015;108.357143;
14.12.-20.12.2015;116.128571;
21.12.-31.12.2015;113.218182;
