Date;Density;
1.1.-7.1.2018;8.998214;
8.1.-14.1.2018;9.092857;
15.1.-21.1.2018;7.952381;
22.1.-28.1.2018;6.707738;
29.1.-4.2.2018;10.483333;
5.2.-11.2.2018;7.910714;
12.2.-18.2.2018;9.560714;
19.2.-25.2.2018;4.935119;
26.2.-4.3.2018;7.407143;
5.3.-11.3.2018;8.491071;
12.3.-18.3.2018;6.579762;
19.3.-25.3.2018;6.585714;
26.3.-1.4.2018;5.236310;
2.4.-8.4.2018;7.707143;
9.4.-15.4.2018;4.918452;
16.4.-22.4.2018;9.380357;
23.4.-29.4.2018;6.689286;
30.4.-6.5.2018;6.447619;
7.5.-13.5.2018;3.887500;
14.5.-20.5.2018;6.163690;
21.5.-27.5.2018;7.322619;
28.5.-3.6.2018;5.926190;
4.6.-10.6.2018;5.843452;
11.6.-17.6.2018;11.317857;
18.6.-24.6.2018;5.330357;
25.6.-1.7.2018;3.998214;
2.7.-8.7.2018;7.199405;
9.7.-15.7.2018;6.482143;
16.7.-22.7.2018;7.051786;
23.7.-29.7.2018;4.363691;
30.7.-5.8.2018;9.431548;
6.8.-12.8.2018;8.564286;
13.8.-19.8.2018;6.307143;
20.8.-26.8.2018;5.917262;
27.8.-2.9.2018;5.033929;
3.9.-9.9.2018;7.848214;
10.9.-16.9.2018;4.707143;
17.9.-23.9.2018;5.612500;
24.9.-30.9.2018;7.874405;
1.10.-7.10.2018;8.442857;
8.10.-14.10.2018;4.605357;
15.10.-21.10.2018;6.255357;
22.10.-28.10.2018;7.860714;
29.10.-4.11.2018;11.939286;
5.11.-11.11.2018;4.851190;
12.11.-18.11.2018;5.275595;
19.11.-25.11.2018;9.010119;
26.11.-2.12.2018;8.332738;
3.12.-9.12.2018;5.415476;
10.12.-16.12.2018;3.779167;
17.12.-23.12.2018;4.447619;
24.12.-30.12.2018;7.250595;
