Date;Speed;
1.1.-7.1.2018;363.273810;
8.1.-14.1.2018;424.380952;
15.1.-21.1.2018;393.023810;
22.1.-28.1.2018;423.666667;
29.1.-4.2.2018;351.255952;
5.2.-11.2.2018;371.714286;
12.2.-18.2.2018;382.910714;
19.2.-25.2.2018;450.791667;
26.2.-4.3.2018;386.476190;
5.3.-11.3.2018;378.142857;
12.3.-18.3.2018;424.988095;
19.3.-25.3.2018;426.672619;
26.3.-1.4.2018;432.178571;
2.4.-8.4.2018;368.214286;
9.4.-15.4.2018;452.940476;
16.4.-22.4.2018;388.928571;
23.4.-29.4.2018;360.517857;
30.4.-6.5.2018;413.059524;
7.5.-13.5.2018;536.732143;
14.5.-20.5.2018;370.428571;
21.5.-27.5.2018;372.166667;
28.5.-3.6.2018;482.279762;
4.6.-10.6.2018;402.619047;
11.6.-17.6.2018;308.827381;
18.6.-24.6.2018;432.505952;
25.6.-1.7.2018;462.327381;
2.7.-8.7.2018;387.476191;
9.7.-15.7.2018;391.880952;
16.7.-22.7.2018;410.357143;
23.7.-29.7.2018;432.470238;
30.7.-5.8.2018;352.488095;
6.8.-12.8.2018;370.273810;
13.8.-19.8.2018;432.017857;
20.8.-26.8.2018;464.910714;
27.8.-2.9.2018;444.744048;
3.9.-9.9.2018;398.029762;
10.9.-16.9.2018;498.136905;
17.9.-23.9.2018;437.827381;
24.9.-30.9.2018;422.672619;
1.10.-7.10.2018;412.922619;
8.10.-14.10.2018;493.357143;
15.10.-21.10.2018;404.839286;
22.10.-28.10.2018;351.494048;
29.10.-4.11.2018;333.148809;
5.11.-11.11.2018;490.994047;
12.11.-18.11.2018;414.654762;
19.11.-25.11.2018;363.934524;
26.11.-2.12.2018;367.720238;
3.12.-9.12.2018;472.000000;
10.12.-16.12.2018;426.821429;
17.12.-23.12.2018;431.458333;
24.12.-30.12.2018;423.505952;
