Date;Temperature;
1.1.-8.1.2017;162362.744792;
9.1.-15.1.2017;69583.946429;
16.1.-22.1.2017;111705.797619;
23.1.-29.1.2017;119526.589286;
30.1.-5.2.2017;171783.339286;
6.2.-12.2.2017;73629.041666;
13.2.-19.2.2017;79360.000000;
20.2.-26.2.2017;113545.535714;
27.2.-5.3.2017;156607.482143;
6.3.-12.3.2017;99375.119048;
13.3.-19.3.2017;40834.071428;
20.3.-26.3.2017;142571.857143;
27.3.-2.4.2017;168602.369048;
3.4.-9.4.2017;78738.964286;
10.4.-16.4.2017;42603.517857;
17.4.-23.4.2017;157473.910714;
24.4.-30.4.2017;103304.238095;
1.5.-7.5.2017;46489.166667;
8.5.-14.5.2017;36101.845238;
15.5.-21.5.2017;150935.803571;
22.5.-28.5.2017;66854.327381;
29.5.-4.6.2017;90956.422619;
5.6.-11.6.2017;31789.625000;
12.6.-18.6.2017;138733.178571;
19.6.-25.6.2017;55446.369048;
26.6.-2.7.2017;74779.053571;
3.7.-9.7.2017;62985.702381;
10.7.-16.7.2017;91217.017857;
17.7.-23.7.2017;193334.851190;
24.7.-30.7.2017;118145.363095;
31.7.-6.8.2017;126541.279762;
7.8.-13.8.2017;113407.488095;
14.8.-20.8.2017;142915.720238;
21.8.-27.8.2017;57463.517857;
28.8.-3.9.2017;129341.821428;
4.9.-10.9.2017;235075.077381;
11.9.-17.9.2017;167857.607143;
18.9.-24.9.2017;80304.095238;
25.9.-1.10.2017;121753.714286;
2.10.-8.10.2017;74287.708333;
9.10.-15.10.2017;129237.940476;
16.10.-22.10.2017;76114.250000;
23.10.-29.10.2017;95338.791667;
30.10.-5.11.2017;56147.946429;
6.11.-12.11.2017;127500.595238;
13.11.-19.11.2017;62782.107143;
20.11.-26.11.2017;71720.779762;
27.11.-3.12.2017;100997.220238;
4.12.-10.12.2017;90163.440476;
11.12.-17.12.2017;97373.958333;
18.12.-24.12.2017;104102.321428;
25.12.-31.12.2017;64157.726190;
