"Year";"Correlation";"parameter"
2013;-0.209025707795839;"Polar cap north (Thule)"
2013;-0.194231574794377;"Polar cap south (Vostok)"
2013;-0.179575101484843;"Solar wind density"
2013;-0.164654187820683;"Proton flux over 30 MeV"
2013;-0.164611625212426;"Proton flux over 60 MeV"
2013;-0.158294507144265;"Kp index"
2013;-0.148158230783865;"Ap index"
2013;-0.12710630626097;"AE index"
2013;0.126580061969512;"AL index"
2013;-0.12313165796803;"AU index"
2013;-0.113789226245156;"Solar wind speed"
2013;-0.113638613953338;"Proton flux over 10 MeV"
2013;0.108773195109987;"Dst index"
2013;0.10252992649908;"Solar index_F10.7"
2013;0.0998708841396563;"Lyman alpha solar index"
2013;-0.096281813792561;"Solar wind temperature"
2013;0.0628356904325489;"R sunspot number"
