"Week";"Correlation"
1;-0.102677654133806
2;-0.107211660524105
3;-0.0937802299966831
4;-0.113026160894717
5;-0.114270713016002
6;-0.0748438386448983
7;-0.0989038125878973
8;-0.0850962622493649
9;-0.11565612667713
10;-0.0907442071711518
11;-0.0354605064112981
12;-0.0627783120197226
13;-0.0683598124955009
14;-0.0887347796465355
15;-0.0384912196340833
16;-0.0330817498511255
17;-0.0364120423583139
18;-0.0428337695826673
19;-0.0593942559715931
20;-0.0826435829560098
21;-0.0805250477546061
22;-0.07973211168741
23;-0.0268022709492212
24;-0.0592702313553749
25;-0.0568694557933278
26;-0.0451226038523256
27;-0.00430909692800774
28;-0.00140840458894013
29;-0.0343600355589678
30;-0.036129892261451
31;-0.0326930312189754
32;-0.00153806518306798
33;-0.00968180961368954
34;0.021410968795254
35;0.0467678490248307
36;0.0175103241979561
37;-0.0189834223414983
38;-0.0561950893607378
39;-0.0749109452424648
40;-0.0576694324569221
41;-0.0724710020323348
42;-0.0861673495873113
43;-0.0609048370887519
44;-0.0839591002925216
45;-0.123171616784753
46;-0.113124058168528
47;-0.122502011743969
48;-0.117984092278571
49;-0.0980603917409581
50;-0.128740374192524
51;-0.0904907888933423
52;-0.0711035242160413
53;-0.107436615664244
54;-0.107446145756496
55;-0.0925606453319732
56;-0.0762842547096413
57;-0.0638821219234657
58;-0.0894914349847541
59;-0.0626828769030971
60;-0.0467463705052259
61;-0.0184062219651853
62;0.00315527573006116
63;0.0346253777064004
64;0.164470956249709
65;0.166450433947516
66;0.169940726041623
67;0.170686411154638
68;0.178457843777935
69;0.181923500495358
70;0.185176394048283
71;0.206350771469558
72;0.163899260875685
73;0.150572212754914
74;0.166058152622952
75;0.195133147887966
76;0.196523721254429
77;0.185641856588515
78;0.198571655397232
79;0.198488897837878
80;0.208042609962628
81;0.239110066753358
82;0.260928761914199
83;0.266138768707077
84;0.268008545808194
85;0.268570013224446
86;0.229001379968963
87;0.213830294163107
88;0.204192971414723
89;0.226306402733743
90;0.243515850300969
91;0.244997812377884
92;0.25337113564284
93;0.256720227993181
94;0.216324062690782
95;0.223475645986299
96;0.189667424807854
97;0.1943820370402
98;0.173795370076728
99;0.168509587493624
100;0.160649884025201
101;0.160515573662962
102;0.182542343570973
103;0.149365209177461
104;0.113670006453858
105;0.160760748594125
106;0.170483053888655
107;0.17454692973538
108;0.15579087395256
109;0.161115450663122
110;0.163761351532647
111;0.161563400353584
112;0.154503828275341
113;0.148476025887832
114;0.140626240451396
115;0.0948975127238671
116;0.0259288538870456
117;0.0291810686021534
118;0.0326807480284089
119;-0.00550783436857458
120;-0.0226818158786373
121;-0.0360565697800477
122;-0.0355750576811126
123;-0.0522207201509452
124;-0.00231473507524229
125;-0.0549636717409702
126;-0.0214308547956661
127;0.000134866603179061
128;0.0174947629770289
129;0.0418554788751511
130;0.0422538968867995
131;0.0301946439663232
132;0.035819705107443
133;-0.0318753732899797
134;-0.0616499893479849
135;-0.060144978168552
136;-0.0530071874495858
137;-0.0482724362346068
138;-0.0490065940604624
139;-0.0154671774044946
140;-0.0146341976200727
141;-0.0146285512891912
142;-0.0187199330313141
143;-0.0200608616784963
144;-0.0320208744266509
145;-0.0423294904423822
146;0.00383533580788704
147;-0.0486733590908424
148;-0.0116350680802381
149;-0.0147366820263687
150;-0.00455768769214986
151;-0.00234378101271088
152;-0.0255708315797423
153;-0.0479546748180863
154;-0.0983663687197175
155;-0.112238615829224
156;-0.104999534979701
157;-0.107619805912615
158;-0.105997054606413
159;-0.134072336385227
160;-0.152947360383354
161;-0.174165688569812
162;-0.173964511218997
163;-0.160432433753521
164;-0.158124127911319
165;-0.207074938340065
166;-0.216024735830509
167;-0.188633760912165
168;-0.202821159338678
169;-0.214698166686506
170;-0.226534786955521
171;-0.208865001131215
172;-0.205304515175037
173;-0.198743375680655
174;-0.197155776874825
175;-0.206133035957002
176;-0.192354616929712
177;-0.143098243568568
178;-0.182206869367048
179;-0.225550600840057
180;-0.243734206674522
181;-0.275427987460149
182;-0.289479105110233
183;-0.309818668083415
184;-0.349256374799272
185;-0.332779418346957
186;-0.283958617144304
187;-0.289213155178014
188;-0.299725474131605
189;-0.274343592250434
190;-0.22394085597652
191;-0.263895392103812
192;-0.173708942830881
193;-0.181684288375547
194;-0.186364735197086
195;-0.17869113764488
196;-0.172713807627437
197;-0.179384714226872
198;-0.173780959831478
199;-0.146858000950972
200;-0.266499249783731
201;-0.264566763925535
202;-0.257833283397187
203;-0.228819329303331
204;-0.188388857230103
205;-0.162055863868888
206;-0.174933865664612
207;-0.178503665693709
208;-0.194373702290207
209;-0.227669704341799
210;-0.156460681704281
211;-0.113907370024654
212;-0.066895410826358
213;-0.0751966068328084
214;-0.0815862121985258
215;-0.0672429364715553
216;-0.125755354744277
217;-0.0277746799101157
218;0.00900735970756713
219;0.0230835008717029
220;0.0267143055217718
221;0.0430732010328334
222;0.0550747892297662
223;0.0532042173582038
224;0.0725100849294499
225;0.124731770868252
226;0.119034433901778
227;0.118905468094786
228;0.115507878268988
229;0.0547714139124311
230;0.0601937126362709
231;0.0794491771424985
232;0.141392330082614
233;0.098857887019114
