"Week";"Correlation"
1;-0.139422990807649
2;-0.124005863645206
3;-0.129837629093011
4;-0.128600130346724
5;-0.14147088295813
6;-0.159908735032648
7;-0.182835760534307
8;-0.185297765753127
9;-0.163758381255428
10;-0.157496423836455
11;-0.125657461348009
12;-0.130945875076649
13;-0.115974327983241
14;-0.100790335058013
15;-0.0489054909824593
16;-0.0505205566616971
17;-0.0462123990232905
18;-0.0182739881154752
19;0.0146479356812242
20;0.000383496729239377
21;0.0155266293051394
22;0.0763187055240636
23;0.159318365771353
24;0.165180023199361
25;0.153187701638303
26;0.16232523342153
27;0.152596265623735
28;0.178909084556039
29;0.212671386383232
30;0.224778899468799
31;0.243364334297926
32;0.258003846251383
33;0.254946331932361
34;0.242129804320691
35;0.234923650714317
36;0.224428493635396
37;0.211388827762912
38;0.212728566251727
39;0.157783048858323
40;0.138057687025341
41;0.121693701068741
42;0.107223569555273
43;0.0662261652382808
44;0.0463108730105344
45;0.0276488507422709
46;0.0537969835875233
47;0.0375204730849453
48;0.0779811149244275
49;0.0499449792241959
50;0.0499130063138924
51;0.0182365696807235
52;-0.0148957234634062
53;-0.0686125742995025
54;-0.0699858131810698
55;-0.0572835380872926
56;-0.056225700760094
57;-0.0829113927379369
58;-0.0752085120701523
59;-0.0530289206453804
60;-0.0827301106073354
61;-0.131002282938418
62;-0.182799301413373
63;-0.252143559653743
64;-0.240632033313512
65;-0.257257288304051
66;-0.264582332063296
67;-0.276690127652403
68;-0.280628170829916
69;-0.270420595598595
70;-0.26768727843495
71;-0.263917397654317
72;-0.271283153704225
73;-0.269491585176088
74;-0.255514800351101
75;-0.239521118287316
76;-0.261522731784706
77;-0.246382784500876
78;-0.256518204704116
79;-0.214726779253776
80;-0.208937753990941
81;-0.190840198776912
82;-0.208546601398791
83;-0.202323161852929
84;-0.211989775669398
85;-0.222597816993132
86;-0.206283484011499
87;-0.192645765172817
88;-0.200673651041932
89;-0.171738413098939
90;-0.165715171514962
91;-0.136558933660874
92;-0.14794704377832
93;-0.15661240996098
94;-0.154111671886997
95;-0.135471821979733
96;-0.0945990532346545
97;-0.0913981269832695
98;-0.0826915435726868
99;-0.0615361319488375
100;-0.0753100497589076
101;-0.0632416390381269
102;-0.0494771716368397
103;-0.0299327865505051
104;-0.043228352159235
105;-0.0375123931789986
106;-0.00409085920997415
107;0.0102350734935953
108;0.0252935153401859
109;0.0332747979008766
110;0.0406982071111969
111;0.0450452662110277
112;0.0566615512318793
113;0.0802536527358167
114;0.100478297269524
115;0.155629044983268
116;0.152381166515949
117;0.152191974549209
118;0.15815324337566
119;0.196801111017076
120;0.207906012193866
121;0.21612914325734
122;0.184838622568898
123;0.176912874281617
124;0.170829634043322
125;0.143569104977361
126;0.0699333957225644
127;0.0171899450206399
128;-0.00424379886768308
129;-0.0225856714318874
130;-0.0333029469135501
131;-0.0682542469896499
132;-0.089485361493087
133;-0.0905661305729721
134;-0.0658835482144612
135;-0.0862609417637156
136;-0.0597069912061462
137;-0.0482750810569695
138;-0.0539186067090835
139;-0.0714017654918999
140;-0.0800097071237972
141;-0.127617120890417
142;-0.128930368336282
143;-0.13166040047253
144;-0.104734860065387
145;-0.0907665170553871
146;-0.0964800904858928
147;-0.0777797558477883
148;-0.114966232656403
149;-0.109918720713157
150;-0.127759932586
151;-0.12297369106927
152;-0.10707781469358
153;-0.115808103238758
154;-0.136038654674337
155;-0.14373502278685
156;-0.124980864197467
157;-0.12313165796803
158;-0.13404275620465
159;-0.168492695534158
160;-0.204134335845037
161;-0.20743150118957
162;-0.227320457872284
163;-0.243052157135918
164;-0.262377609757532
165;-0.276745872616786
166;-0.257553295794053
167;-0.232848574784701
168;-0.238650099790758
169;-0.244055386719398
170;-0.220684358686341
171;-0.232317463504937
172;-0.251406787532448
173;-0.272692195658745
174;-0.232169298519628
175;-0.24015100265062
176;-0.259682592485208
177;-0.232000812302774
178;-0.192420313827887
179;-0.151832795137509
180;-0.0652972519722709
181;-0.0653964158321896
182;-0.0622633337584136
183;-0.0589364248102627
184;-0.0536075187384483
185;-0.12164468770449
186;-0.167553255720201
187;-0.147487971019971
188;-0.213893554614667
189;-0.169903168342926
190;-0.204324747995391
191;-0.158793264611319
192;-0.123199463776766
193;-0.0886200270557454
194;-0.0920612934430436
195;-0.0926908467705841
196;-0.0983307639248997
197;-0.105672890813733
198;-0.1036175437683
199;-0.109401627910102
200;-0.0686218134043018
201;-0.0745073348649302
202;-0.077010992785452
203;-0.0716024229050323
204;-0.0956210179528051
205;-0.0890057469783037
206;-0.0792189784976551
207;-0.0757670492370989
208;-0.0452387118134854
209;-0.0125799403596723
210;-0.0323692354248881
