"Week";"Correlation"
1;-0.310149620991284
2;-0.280041149013552
3;-0.270218340619907
4;-0.259410924627487
5;-0.243662526510136
6;-0.235973043788678
7;-0.227360850026161
8;-0.227191393894913
9;-0.219728181660255
10;-0.219473625790535
11;-0.205702585948781
12;-0.202750632353887
13;-0.193387483230733
14;-0.195973561509961
15;-0.201407194110735
16;-0.193548708541071
17;-0.18592467363407
18;-0.183620873938386
19;-0.208377438592493
20;-0.200662928404803
21;-0.204985876254688
22;-0.219108463007815
23;-0.248427496710132
24;-0.248709737408342
25;-0.250392117492291
26;-0.242085983438312
27;-0.261085342194989
28;-0.254927484989698
29;-0.253419508661216
30;-0.246810067545734
31;-0.25401357120359
32;-0.260253122783431
33;-0.25866272692018
34;-0.25322751021086
35;-0.261519951251323
36;-0.255567043845179
37;-0.252437357318937
38;-0.245810462235809
39;-0.23926822041338
40;-0.224041918692545
41;-0.213649746507312
42;-0.218415688056878
43;-0.221193463779916
44;-0.212917235915687
45;-0.20169374185691
46;-0.202950414613199
47;-0.188406267436271
48;-0.180660205875921
49;-0.154045548737961
50;-0.13392094823423
51;-0.124700380550907
52;-0.113975074195069
53;-0.111388895036945
54;-0.106433004115861
55;-0.0929635535842887
56;-0.0699264750865195
57;-0.0518378092579072
58;-0.0484587090903742
59;-0.0424559432647285
60;-0.0420134538797527
61;-0.0671790990031721
62;-0.0600392273149126
63;-0.0434092362777682
64;-0.0378786579807602
65;-0.0387939586713705
66;-0.0329290964310872
67;-0.0251493009251596
68;-0.0270097541862387
69;-0.0236320140871461
70;-0.0234049473338069
71;-0.0241953044015595
72;-0.0194271276910584
73;-0.016173101673932
74;-0.026909093222568
75;-0.0299270625977637
76;-0.0376685576883447
77;-0.0368588540908284
78;-0.0505785336102083
79;-0.0514502467254147
80;-0.0501039459043186
81;-0.0508464475194902
82;-0.060198252717066
83;-0.0603423049496625
84;-0.0587036194381668
85;-0.0591457869391522
86;-0.052130926737344
87;-0.0481495848473312
88;-0.0501055428199007
89;-0.0572024234011738
90;-0.0652847838055089
91;-0.0633550161641142
92;-0.0852083719879255
93;-0.0867424510840612
94;-0.0785819559078839
95;-0.0617449642368907
96;-0.0464037175024172
97;-0.0462897667198395
98;-0.0508324784013765
99;-0.0462316631413082
100;-0.050706749628835
101;-0.0451953652186032
102;-0.0324599693251194
103;-0.00788688763384284
104;0.0146089095029118
105;0.0048154813378999
106;-0.0230191959940314
107;-0.0304827273406256
108;-0.0281903104500677
109;-0.023967151905065
110;-0.029739054511889
111;-0.0365082161832067
112;-0.0396649457278033
113;-0.0412179502517528
114;-0.0388505297337738
115;-0.0191567224967413
116;0.00380013856245489
117;-0.0113814759202513
118;-0.0111381690012231
119;-0.00513880932197106
120;-0.00575380814234161
121;-0.00942622093886054
122;-0.0220934817084714
123;-0.0187393832882324
124;-0.0200354688178941
125;-0.0208694880226053
126;-0.0213260499679296
127;-0.024924549408081
128;-0.0411526423600335
129;-0.0375666980645499
130;-0.0345583464482975
131;-0.0372393717517107
132;-0.0402773655793482
133;-0.0745350005698865
134;-0.0713217170989428
135;-0.0683789116631705
136;-0.0709576017747115
137;-0.0685499236531184
138;-0.0648513719880336
139;-0.0535763673239887
140;-0.0423096323394659
141;-0.0537698291604693
142;-0.0364626571628986
143;-0.0326089685050874
144;-0.0326412675638534
145;-0.025875390062798
146;-0.029174103591592
147;-0.00299563580749369
148;0.00155033073164384
149;-0.00110615253748475
150;0.014059410150114
151;0.0228021332256292
152;0.0236506957577117
153;0.017584563808575
154;0.0467081514206395
155;0.0692641830830304
156;0.090889199483628
157;0.0801552603875322
158;0.0607954154116832
159;0.0614095711798732
160;0.060109590901397
161;0.0608116594007605
162;0.0659328756222739
163;0.0709201540299476
164;0.0664665735569159
165;0.0762744906398271
166;0.0821137978306135
167;0.0683821919211556
168;0.0625422626071224
169;0.067592240827315
170;0.0643271158611784
171;0.0487720886616157
172;0.0453056697584171
173;0.0465073980306388
174;0.0475356399739982
175;0.0468089857524397
176;0.0492151285644706
177;0.0492633897159506
178;0.0526195101835909
179;0.0553138855326644
180;0.0603706198236613
181;0.0671113228422754
182;0.0520665162846113
183;0.0539720393903078
184;0.0514518123320526
185;0.0572763679916745
186;0.0567821398060035
187;0.055863217822417
188;0.0549651887100967
189;0.060669798529473
190;0.0572815133867595
191;0.0572530337907835
192;0.0454221292461725
193;0.0529875678943123
194;0.0491071168024539
195;0.049503286710088
196;0.0463609179506645
197;0.0449780758342993
198;0.0459232940829474
199;0.0422439386124672
200;0.0521426010320837
201;0.0497753144809296
202;0.0508994362830036
203;0.0460124621503456
204;0.0655205015894987
205;0.0603035780516357
206;0.0723287081554746
207;0.0635145898474961
208;0.0804871618948479
209;0.0899627862529065
