"Week";"Correlation"
1;-0.158826402990864
2;-0.150481855156451
3;-0.152590095230867
4;-0.150684121052101
5;-0.151434492266439
6;-0.146998974526231
7;-0.137584863741719
8;-0.137566381118222
9;-0.127909773594566
10;-0.13074571713544
11;-0.122656006563292
12;-0.123452418053597
13;-0.122615028232596
14;-0.125542261006835
15;-0.13423888367375
16;-0.130094469816109
17;-0.124118463795375
18;-0.118141444558225
19;-0.120223473145601
20;-0.112036834057849
21;-0.100895163372825
22;-0.110786021867676
23;-0.137264180243439
24;-0.129811137294071
25;-0.133287226367086
26;-0.135927521920967
27;-0.143553754184879
28;-0.139462674144947
29;-0.127439585318903
30;-0.120300743225592
31;-0.120214115901146
32;-0.134791109710539
33;-0.131371716812915
34;-0.130241398178046
35;-0.140240893411863
36;-0.131577790283699
37;-0.129152993489912
38;-0.123512579619929
39;-0.120555690088852
40;-0.116542409925239
41;-0.114870313665397
42;-0.111185424494793
43;-0.11099155779771
44;-0.108792288074229
45;-0.0984090194795532
46;-0.0974990844706955
47;-0.0948834678459905
48;-0.0831340084483485
49;-0.0828228325150356
50;-0.0714405407644891
51;-0.0661443532298731
52;-0.061006971669813
53;-0.0609855002588087
54;-0.0646350074973027
55;-0.0647416080547383
56;-0.0609704360762353
57;-0.0544751837972184
58;-0.0468914493751817
59;-0.0532143784649054
60;-0.0519918639768566
61;-0.0446728040432036
62;-0.0433268256819543
63;-0.0397572693174364
64;-0.04076631377918
65;-0.0383402773551576
66;-0.0361042365441203
67;-0.0333555758680959
68;-0.0323380520114586
69;-0.0345634027398165
70;-0.0329696572907644
71;-0.0318295128467376
72;-0.0324468074501764
73;-0.0289370190047908
74;-0.03899717942098
75;-0.0454027166337957
76;-0.0439977804875352
77;-0.0403641575605402
78;-0.0409947758169074
79;-0.0276932844631796
80;-0.0265813007956567
81;-0.0276067721479553
82;-0.0327470841950345
83;-0.0327526891457349
84;-0.0243950645510383
85;-0.0211221650569088
86;-0.0121474161490672
87;-0.0167544342610671
88;-0.022439361671084
89;-0.0410305674866003
90;-0.0551675666452
91;-0.0533864922635819
92;-0.0613227980951442
93;-0.0615837368143195
94;-0.0639093365115987
95;-0.0565164701817723
96;-0.0432922809077281
97;-0.0429027523109032
98;-0.0382479037758673
99;-0.0418472907168147
100;-0.0406140619833704
101;-0.0434231631439848
102;-0.0366265632068488
103;-0.0209624606137025
104;-0.0101117396961592
105;-0.0164266903923509
106;-0.0311269050732453
107;-0.0434736808944062
108;-0.0462458710552231
109;-0.0426550769736104
110;-0.0390539338614877
111;-0.046637041085989
112;-0.0331963090017845
113;-0.038467577732347
114;-0.0486019642147058
115;-0.0490699345385985
116;-0.0189719885846105
117;-0.0350607331947635
118;-0.0390304035360965
119;-0.0403839974887726
120;-0.0412132585962841
121;-0.0583895628547585
122;-0.05910828898196
123;-0.0468111847825297
124;-0.0559632597573597
125;-0.0514845548035592
126;-0.0525590108033599
127;-0.0538628888423766
128;-0.0728345862532896
129;-0.0695292248300105
130;-0.0628502955668168
131;-0.0927868949691441
132;-0.0870527279203983
133;-0.0749524343422549
134;-0.0701167488147211
135;-0.0695909082408692
136;-0.0686212007654815
137;-0.0645500380314393
138;-0.0700549728815987
139;-0.0656388543453315
140;-0.0672637158625008
141;-0.0669097587660414
142;-0.0354519682134852
143;-0.0179987406185862
144;-0.017049125841968
145;-0.0163809684483929
146;-0.0485397481867664
147;-0.0316098008482175
148;-0.0429578806155741
149;-0.0399901269432067
150;-0.0384569969197575
151;-0.0399858940028597
152;-0.0399431328101208
153;-0.0389383043047894
154;-0.0237410302863427
155;-0.0219337221304188
156;-0.0128573961078832
157;-0.00139012719152079
158;-0.00209351589410117
159;0.0035130958907249
160;-0.00793014112444933
161;-0.00440217384788847
162;-0.00227332771137328
163;-0.00784736644730933
164;-0.0158163206519293
165;-0.0189841989126432
166;-0.0168714410023361
167;-0.0250014844210796
168;-0.0234093742436774
169;-0.0192824045789993
170;-0.0200800061286665
171;-0.0294882935174823
172;-0.0385843704439416
173;-0.0406776576936495
174;-0.0428983650237055
175;-0.0541890425052676
176;-0.0562617711122308
177;-0.0614621605426839
178;-0.0562803918876685
179;-0.0506932667904672
180;-0.0500583239040709
181;-0.0400219602226361
182;-0.0397977295971759
183;-0.042641650921692
184;-0.0441534291431108
185;-0.0485120950559221
186;-0.0503495970303609
187;-0.0493701320318041
188;-0.0287066685288681
189;-0.0206796807228059
190;-0.0368310604890401
191;-0.0368851111157004
192;-0.0159432579038656
193;-0.0138894621782775
194;-0.0255886489326757
195;-0.0236718052473366
196;-0.036181553619187
197;-0.035681557587034
198;-0.0426959830861618
199;-0.0408203834845518
200;-0.0348257833626726
201;-0.0334564210879292
202;-0.0328871709348765
203;-0.0324519579170141
204;-0.0360579391442986
205;-0.0355504286716668
206;-0.0361043300122053
207;-0.0464030895825567
208;-0.0478560544523522
209;-0.0403424452245679
