"Year";"Correlation";"parameter"
"2010-2016";-0.532073341873956;"Lyman alpha solar index"
"2010-2016";-0.473454403562393;"Solar index_F10.7"
"2010-2016";-0.434079406994535;"R sunspot number"
"2010-2016";-0.262231962197356;"Kp index"
"2010-2016";-0.249107038788677;"AU index"
"2010-2016";-0.233477161791858;"AE index"
"2010-2016";-0.219329584240758;"Ap index"
"2010-2016";0.211827984553476;"AL index"
"2010-2016";-0.162874146035726;"Polar cap south (Vostok)"
"2010-2016";-0.160415279106917;"Solar wind density"
"2010-2016";-0.135529088279011;"Polar cap north (Thule)"
"2010-2016";-0.110621051387375;"Solar wind temperature"
"2010-2016";0.102238101971032;"Dst index"
"2010-2016";-0.0830718710363687;"Proton flux over 30 MeV"
"2010-2016";-0.0826942289706246;"Proton flux over 10 MeV"
"2010-2016";-0.0732042131068974;"Proton flux over 60 MeV"
"2010-2016";-0.063273551580947;"Solar wind speed"
