"Year";"Correlation";"parameter"
"2010-2016";-0.0601486345405067;"Proton flux over 60 MeV"
"2010-2016";0.0589436089645226;"Solar wind temperature"
"2010-2016";-0.0541673386959293;"Proton flux over 30 MeV"
"2010-2016";-0.0500194312681606;"Solar wind density"
"2010-2016";0.0469674744357945;"Polar cap south (Vostok)"
"2010-2016";0.04694441123297;"Solar wind speed"
"2010-2016";0.0465892455577974;"Dst index"
"2010-2016";-0.0426777491745464;"Proton flux over 10 MeV"
"2010-2016";-0.0354953413486305;"AU index"
"2010-2016";-0.034490762721993;"Polar cap north (Thule)"
"2010-2016";-0.0275533048624958;"Lyman alpha solar index"
"2010-2016";0.0260898188405893;"Ap index"
"2010-2016";-0.0198384003769474;"AL index"
"2010-2016";0.0119301056031799;"R sunspot number"
"2010-2016";-0.0015010863282722;"Solar index_F10.7"
"2010-2016";0.000527595443532507;"AE index"
"2010-2016";0.000324000541339591;"Kp index"
