"Year";"Correlation";"parameter"
2015;-0.255750217883651;"Lyman alpha solar index"
2015;-0.252790043633188;"Solar index_F10.7"
2015;-0.177261047131327;"Proton flux over 10 MeV"
2015;0.152207977795512;"Dst index"
2015;0.112659144480324;"R sunspot number"
2015;-0.0960887504844435;"Solar wind temperature"
2015;-0.0924076631185354;"Kp index"
2015;-0.0832309982142773;"Proton flux over 30 MeV"
2015;0.0755509390903341;"Proton flux over 60 MeV"
2015;-0.0688815521175062;"Polar cap south (Vostok)"
2015;-0.0687687033903765;"Ap index"
2015;-0.0621982553936375;"Polar cap north (Thule)"
2015;-0.0550436486452356;"Solar wind speed"
2015;0.00156886522171869;"Solar wind density"
