"Year";"Correlation";"parameter"
"2013-2018";-0.187042878276832;"Lyman alpha solar index"
"2013-2018";-0.171903352537677;"Solar index_F10.7"
"2013-2018";-0.163548357024204;"R sunspot number"
"2013-2018";-0.067140540537199;"Solar wind density"
"2013-2018";0.0656017773091925;"Dst index"
"2013-2018";0.062773055105992;"Proton flux over 60 MeV"
"2013-2018";-0.0445132359418252;"Polar cap south (Vostok)"
"2013-2018";0.040346650861701;"Proton flux over 30 MeV"
"2013-2018";-0.0349445349277025;"Kp index"
"2013-2018";-0.0239721442337281;"Ap index"
"2013-2018";0.0159013440947955;"Solar wind speed"
"2013-2018";0.0120286944230181;"Solar wind temperature"
"2013-2018";-0.0100259705552497;"Proton flux over 10 MeV"
"2013-2018";-0.00912555488798266;"Polar cap north (Thule)"
