"Year";"Correlation";"parameter"
"2013-2018";0.131800975277634;"Ap index"
"2013-2018";0.120116503792811;"Proton flux over 30 MeV"
"2013-2018";0.117799817761592;"Proton flux over 10 MeV"
"2013-2018";0.112377463651049;"Polar cap south (Vostok)"
"2013-2018";0.110272590707069;"Proton flux over 60 MeV"
"2013-2018";0.0905557801305718;"Kp index"
"2013-2018";0.0673929845701629;"Polar cap north (Thule)"
"2013-2018";0.065565844361976;"Solar wind temperature"
"2013-2018";0.0358616814112349;"Solar wind speed"
"2013-2018";-0.0349931886024675;"Dst index"
"2013-2018";-0.023514823453504;"Lyman alpha solar index"
"2013-2018";-0.0169168663306692;"R sunspot number"
"2013-2018";-0.00975422468824463;"Solar index_F10.7"
"2013-2018";0.00909671019107305;"Solar wind density"
